Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Brillant Pierre-Luc P.Q.;D'Souza Jamie P.V.Q./G.P.Q.;Duverneau Sherlyne P.L.Q./Q.L.P.;Lemay Marie-France P.C.Q-E.E.D.;Marissal Vincent Q.S.;O'Connor Sandra C.A.Q.-E.F.L.;Racine Jean-François C.Q.;B.V.;B.R.
356;Rosemont;2022-10-03;G;Montréal, v;323;;91;317;15;8;22;8;51;17;1;122;1
356;Rosemont;2022-10-03;G;Montréal, v;323;;92;280;26;2;17;7;49;21;1;123;2
356;Rosemont;2022-10-03;G;Montréal, v;323;;93;298;30;2;12;6;51;36;0;137;1
356;Rosemont;2022-10-03;G;Montréal, v;324;;94;362;35;3;16;5;72;21;0;152;2
356;Rosemont;2022-10-03;G;Montréal, v;324;;95;373;19;3;22;11;62;28;1;146;0
356;Rosemont;2022-10-03;G;Montréal, v;324;;96;359;24;4;30;5;47;29;2;141;3
356;Rosemont;2022-10-03;G;Montréal, v;324;;97;371;15;1;26;14;58;37;0;151;3
356;Rosemont;2022-10-03;G;Montréal, v;324;;98;347;31;2;24;15;40;34;0;146;5
356;Rosemont;2022-10-03;G;Montréal, v;324;;99;377;37;2;34;7;52;30;0;162;2
356;Rosemont;2022-10-03;G;Montréal, v;324;;100;350;23;2;21;13;59;16;0;134;2
356;Rosemont;2022-10-03;G;Montréal, v;324;;101;389;34;3;30;20;69;36;2;194;4
356;Rosemont;2022-10-03;G;Montréal, v;325;;102;345;12;2;26;5;39;24;2;110;1
356;Rosemont;2022-10-03;G;Montréal, v;325;;103;330;15;1;21;13;41;18;2;111;1
356;Rosemont;2022-10-03;G;Montréal, v;325;;104;330;21;6;23;10;42;22;0;124;0
356;Rosemont;2022-10-03;G;Montréal, v;325;;105;320;16;2;18;7;37;25;0;105;1
356;Rosemont;2022-10-03;G;Montréal, v;325;;106;360;17;1;44;15;46;16;0;139;4
356;Rosemont;2022-10-03;G;Montréal, v;325;;107;306;21;1;23;5;27;22;0;99;0
356;Rosemont;2022-10-03;G;Montréal, v;425;;108;390;36;0;31;9;54;46;1;177;1
356;Rosemont;2022-10-03;G;Montréal, v;425;;109;394;51;2;25;5;56;34;1;174;1
356;Rosemont;2022-10-03;G;Montréal, v;425;;110;401;40;5;20;9;64;23;1;162;3
356;Rosemont;2022-10-03;G;Montréal, v;425;;111;397;63;2;14;8;58;21;0;166;4
356;Rosemont;2022-10-03;G;Montréal, v;425;;112;388;35;0;34;3;49;35;2;158;3
356;Rosemont;2022-10-03;G;Montréal, v;425;;113;395;20;4;25;19;44;27;3;142;4
356;Rosemont;2022-10-03;G;Montréal, v;425;;114;388;21;0;44;21;34;17;1;138;1
356;Rosemont;2022-10-03;G;Montréal, v;425;;115;354;16;4;44;9;42;31;0;146;1
356;Rosemont;2022-10-03;G;Montréal, v;425;;116;364;24;2;20;9;44;38;0;137;0
356;Rosemont;2022-10-03;G;Montréal, v;425;;117;372;15;2;33;19;40;40;0;149;0
356;Rosemont;2022-10-03;G;Montréal, v;426;;118;357;17;3;42;17;22;25;0;126;2
356;Rosemont;2022-10-03;G;Montréal, v;426;;119;366;35;5;36;16;56;43;1;192;4
356;Rosemont;2022-10-03;G;Montréal, v;426;;120;343;30;3;38;15;44;22;0;152;1
356;Rosemont;2022-10-03;G;Montréal, v;426;;121;341;32;6;35;8;48;34;0;163;2
356;Rosemont;2022-10-03;G;Montréal, v;426;;122A;203;2;0;37;14;19;13;0;85;1
356;Rosemont;2022-10-03;G;Montréal, v;426;;122B;234;8;1;54;16;13;21;0;113;1
356;Rosemont;2022-10-03;G;Montréal, v;426;;123;360;29;2;28;10;31;43;0;143;3
356;Rosemont;2022-10-03;G;Montréal, v;426;;124;348;24;2;36;22;26;13;0;123;1
356;Rosemont;2022-10-03;G;Montréal, v;427;;125;392;26;2;37;10;58;31;0;164;2
356;Rosemont;2022-10-03;G;Montréal, v;427;;126;377;31;1;32;14;52;23;0;153;3
356;Rosemont;2022-10-03;G;Montréal, v;427;;127;369;33;1;17;4;38;43;0;136;4
356;Rosemont;2022-10-03;G;Montréal, v;427;;128;379;34;2;30;15;40;34;1;156;0
356;Rosemont;2022-10-03;G;Montréal, v;427;;129;359;39;1;17;3;51;37;1;149;3
356;Rosemont;2022-10-03;G;Montréal, v;427;;130;377;35;1;25;15;37;25;1;139;1
356;Rosemont;2022-10-03;G;Montréal, v;427;;131;385;30;1;20;4;49;30;0;134;0
356;Rosemont;2022-10-03;G;Montréal, v;427;;132;385;49;1;11;2;48;42;0;153;0
