Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Abdallah Hassan P.L.Q./Q.L.P.;Aubin Claire C.Q.;Boucher Julie P.Q.;Drainville Amélie Q.S.;Primeau Benoit P.C.Q-E.E.D.;Proulx Caroline C.A.Q.-E.F.L.;B.V.;B.R.
566;Berthier;2022-10-03;G;Saint-Côme, m;1;;109;364;4;1;42;17;16;109;189;3
566;Berthier;2022-10-03;G;Saint-Côme, m;1;;110;359;4;1;43;19;13;102;182;2
566;Berthier;2022-10-03;G;Saint-Côme, m;1;;111;367;5;4;55;15;22;98;199;0
566;Berthier;2022-10-03;G;Saint-Côme, m;1;;112;365;8;1;51;22;14;108;204;2
566;Berthier;2022-10-03;G;Saint-Côme, m;1;;113;365;5;0;42;15;19;99;180;5
566;Berthier;2022-10-03;G;Saint-Côme, m;1;;114;357;2;2;57;21;28;71;181;2
566;Berthier;2022-10-03;G;Saint-Jean-de-Matha, m;1;;115;397;4;0;49;37;18;60;168;2
566;Berthier;2022-10-03;G;Saint-Jean-de-Matha, m;1;;116;396;5;0;47;11;9;78;150;0
566;Berthier;2022-10-03;G;Saint-Jean-de-Matha, m;1;;117;392;1;0;43;12;20;77;153;1
566;Berthier;2022-10-03;G;Saint-Jean-de-Matha, m;1;;118;386;3;4;39;27;34;70;177;1
566;Berthier;2022-10-03;G;Saint-Jean-de-Matha, m;1;;119;382;1;1;45;27;33;87;194;0
566;Berthier;2022-10-03;G;Saint-Jean-de-Matha, m;1;;120;396;1;0;41;36;20;84;182;1
566;Berthier;2022-10-03;G;Saint-Jean-de-Matha, m;1;;121;392;1;1;52;30;21;45;150;6
566;Berthier;2022-10-03;G;Saint-Jean-de-Matha, m;1;;122;391;2;1;32;16;26;58;135;1
566;Berthier;2022-10-03;G;Saint-Jean-de-Matha, m;1;;123;384;2;0;32;25;27;64;150;2
566;Berthier;2022-10-03;G;Saint-Jean-de-Matha, m;1;;124;390;3;0;34;49;20;82;188;3
566;Berthier;2022-10-03;G;Saint-Cléophas-de-Brandon, m;1;;125;203;1;2;22;18;12;63;118;7
566;Berthier;2022-10-03;G;Saint-Gabriel-de-Brandon, m;1;;126;384;1;0;29;13;44;53;140;2
566;Berthier;2022-10-03;G;Saint-Gabriel-de-Brandon, m;1;;127;377;7;0;32;22;19;75;155;2
566;Berthier;2022-10-03;G;Saint-Gabriel-de-Brandon, m;1;;128;389;7;0;35;10;32;90;174;2
566;Berthier;2022-10-03;G;Saint-Gabriel-de-Brandon, m;1;;129;386;2;1;36;19;20;76;154;3
566;Berthier;2022-10-03;G;Saint-Gabriel-de-Brandon, m;1;;130;375;4;1;42;34;36;63;180;2
566;Berthier;2022-10-03;G;Saint-Gabriel-de-Brandon, m;1;;131;387;5;0;38;12;11;80;146;3
566;Berthier;2022-10-03;G;Saint-Gabriel, v;1;;132;356;1;0;25;16;22;63;127;2
566;Berthier;2022-10-03;G;Saint-Gabriel, v;1;;133;356;0;0;22;22;19;60;123;1
566;Berthier;2022-10-03;G;Saint-Gabriel, v;1;;134;361;6;1;31;13;16;44;111;1
566;Berthier;2022-10-03;G;Saint-Gabriel, v;1;;135;340;2;3;19;20;26;37;107;5
566;Berthier;2022-10-03;G;Saint-Gabriel, v;1;;136;361;0;1;21;9;27;53;111;1
566;Berthier;2022-10-03;G;Saint-Gabriel, v;1;;137;358;3;1;27;23;25;62;141;3
566;Berthier;2022-10-03;G;Saint-Didace, p;1;;138;300;0;2;30;28;14;74;148;2
566;Berthier;2022-10-03;G;Saint-Didace, p;1;;139;295;2;1;36;30;15;71;155;1
566;Berthier;2022-10-03;G;Mandeville, m;1;;140;344;1;1;38;12;23;100;175;4
566;Berthier;2022-10-03;G;Mandeville, m;1;;141;344;3;1;41;16;17;65;143;3
566;Berthier;2022-10-03;G;Mandeville, m;1;;142;358;4;0;60;19;34;88;205;3
566;Berthier;2022-10-03;G;Mandeville, m;1;;143;350;2;1;31;41;27;100;202;4
566;Berthier;2022-10-03;G;Mandeville, m;1;;144;349;1;1;29;21;20;91;163;5
566;Berthier;2022-10-03;G;Mandeville, m;1;;145;356;3;1;37;17;12;93;163;2
566;Berthier;2022-10-03;G;Saint-Damien, p;1;;146;374;2;3;30;21;20;93;169;4
566;Berthier;2022-10-03;G;Saint-Damien, p;1;;147;384;6;0;46;35;21;82;190;0
566;Berthier;2022-10-03;G;Saint-Damien, p;1;;148;399;2;0;47;37;27;86;199;4
566;Berthier;2022-10-03;G;Saint-Damien, p;1;;149;382;4;0;25;19;16;91;155;0
