Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bigilimana Ange Claude P.C.Q-E.E.D.;Dufour Virginie P.L.Q./Q.L.P.;Jitaru Bianca P.V.Q./G.P.Q.;Lachance Michel P.Q.;Lajoie Guillaume Q.S.;Séide Julie C.A.Q.-E.F.L.;B.V.;B.R.
482;Mille-Îles;2022-10-03;G;Laval, v;83;;39;424;29;83;1;14;34;36;197;1
482;Mille-Îles;2022-10-03;G;Laval, v;83;;40;393;23;49;1;16;17;34;140;0
482;Mille-Îles;2022-10-03;G;Laval, v;83;;41A;273;29;52;0;10;7;22;120;1
482;Mille-Îles;2022-10-03;G;Laval, v;83;;41B;232;19;38;1;11;7;29;105;2
482;Mille-Îles;2022-10-03;G;Laval, v;83;;42A;272;30;38;1;3;2;22;96;2
482;Mille-Îles;2022-10-03;G;Laval, v;83;;42B;231;20;18;0;14;6;15;73;0
482;Mille-Îles;2022-10-03;G;Laval, v;83;;43;405;34;87;0;10;12;42;185;0
482;Mille-Îles;2022-10-03;G;Laval, v;83;;44;405;21;89;3;4;17;17;151;3
482;Mille-Îles;2022-10-03;G;Laval, v;84;;45;385;33;104;1;4;9;19;170;5
482;Mille-Îles;2022-10-03;G;Laval, v;84;;46;392;38;133;1;2;6;5;185;0
482;Mille-Îles;2022-10-03;G;Laval, v;84;;47;390;37;117;0;5;5;14;178;1
482;Mille-Îles;2022-10-03;G;Laval, v;84;;48;393;42;104;1;0;3;11;161;1
482;Mille-Îles;2022-10-03;G;Laval, v;84;;49;388;40;110;1;2;10;24;187;2
482;Mille-Îles;2022-10-03;G;Laval, v;85;;50;377;30;107;3;1;13;13;167;2
482;Mille-Îles;2022-10-03;G;Laval, v;85;;51;364;41;98;2;2;6;20;169;1
482;Mille-Îles;2022-10-03;G;Laval, v;85;;52;374;54;80;4;3;17;13;171;2
482;Mille-Îles;2022-10-03;G;Laval, v;85;;53;372;29;84;0;7;16;23;159;1
482;Mille-Îles;2022-10-03;G;Laval, v;85;;54;351;21;31;1;20;16;42;131;0
482;Mille-Îles;2022-10-03;G;Laval, v;85;;55;385;20;42;0;10;28;27;127;1
482;Mille-Îles;2022-10-03;G;Laval, v;85;;56;361;17;35;0;22;19;51;144;2
482;Mille-Îles;2022-10-03;G;Laval, v;86;;57;384;19;39;3;30;33;56;180;2
482;Mille-Îles;2022-10-03;G;Laval, v;86;;58;355;4;23;1;16;20;60;124;2
482;Mille-Îles;2022-10-03;G;Laval, v;86;;59;364;18;30;2;9;26;37;122;3
482;Mille-Îles;2022-10-03;G;Laval, v;86;;60;410;15;33;1;25;12;68;154;2
482;Mille-Îles;2022-10-03;G;Laval, v;86;;61;372;17;59;3;26;34;41;180;3
482;Mille-Îles;2022-10-03;G;Laval, v;86;;62;361;12;74;1;16;24;43;170;0
482;Mille-Îles;2022-10-03;G;Laval, v;87;;63;363;15;29;4;26;35;50;159;1
482;Mille-Îles;2022-10-03;G;Laval, v;87;;64;357;16;26;2;33;20;29;126;2
482;Mille-Îles;2022-10-03;G;Laval, v;87;;65;368;16;27;4;25;36;51;159;0
482;Mille-Îles;2022-10-03;G;Laval, v;87;;66;345;10;36;3;16;22;35;122;2
482;Mille-Îles;2022-10-03;G;Laval, v;87;;67;350;17;60;3;16;23;33;152;4
482;Mille-Îles;2022-10-03;G;Laval, v;87;;68;371;15;18;3;34;32;38;140;3
482;Mille-Îles;2022-10-03;G;Laval, v;104;;69;335;7;15;2;30;22;67;143;0
482;Mille-Îles;2022-10-03;G;Laval, v;104;;70;328;16;13;1;23;21;75;149;0
482;Mille-Îles;2022-10-03;G;Laval, v;104;;71;349;16;22;0;29;18;65;150;5
482;Mille-Îles;2022-10-03;G;Laval, v;104;;72;340;16;17;4;28;18;43;126;1
482;Mille-Îles;2022-10-03;G;Laval, v;104;;73;370;23;17;2;33;22;68;165;1
482;Mille-Îles;2022-10-03;G;Laval, v;105;;74;376;17;26;3;37;15;69;167;6
482;Mille-Îles;2022-10-03;G;Laval, v;105;;75;420;19;66;2;29;44;45;205;1
482;Mille-Îles;2022-10-03;G;Laval, v;105;;76;406;11;27;1;43;25;69;176;1
