Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bernier Stéphane P.C.Q-E.E.D.;Bonnardel François C.A.Q.-E.F.L.;Bouthillier Guy P.Q.;Lamarre Penny P.L.Q./Q.L.P.;Legault Anne-Sophie Q.S.;Paquin Jimmy E.A.;Wisniowski Andrzej P.V.Q./G.P.Q.;B.V.;B.R.
206;Granby;2022-10-03;G;Granby, v;6;;47;369;17;65;16;8;28;1;0;135;5
206;Granby;2022-10-03;G;Granby, v;7;;48;363;20;50;11;2;21;0;1;105;1
206;Granby;2022-10-03;G;Granby, v;7;;49;372;21;31;19;5;16;1;1;94;1
206;Granby;2022-10-03;G;Granby, v;7;;50;374;17;43;20;2;17;1;3;103;0
206;Granby;2022-10-03;G;Granby, v;7;;51;379;20;46;14;5;14;1;1;101;6
206;Granby;2022-10-03;G;Granby, v;7;;52;378;23;63;10;9;26;0;2;133;5
206;Granby;2022-10-03;G;Granby, v;7;;53;392;23;60;14;8;19;1;2;127;5
206;Granby;2022-10-03;G;Granby, v;7;;54;389;32;75;17;6;29;0;0;159;1
206;Granby;2022-10-03;G;Granby, v;7;;55;387;21;84;13;14;46;0;1;179;2
206;Granby;2022-10-03;G;Granby, v;7;;56;378;13;50;18;8;20;0;4;113;1
206;Granby;2022-10-03;G;Granby, v;7;;57;384;14;98;20;8;30;0;2;172;1
206;Granby;2022-10-03;G;Granby, v;7;;58;377;14;91;29;12;21;0;2;169;2
206;Granby;2022-10-03;G;Granby, v;7;;59;387;16;100;19;11;35;1;5;187;1
206;Granby;2022-10-03;G;Granby, v;7;;60;383;19;75;16;10;19;1;1;141;3
206;Granby;2022-10-03;G;Granby, v;7;;61;378;32;81;41;5;21;0;1;181;0
206;Granby;2022-10-03;G;Granby, v;7;;62;380;29;91;17;6;29;0;2;174;3
206;Granby;2022-10-03;G;Granby, v;8;;63;363;20;86;14;12;12;0;2;146;0
206;Granby;2022-10-03;G;Granby, v;8;;64;360;14;77;12;3;10;0;0;116;0
206;Granby;2022-10-03;G;Granby, v;8;;65;360;5;70;9;2;5;0;1;92;0
206;Granby;2022-10-03;G;Granby, v;8;;66;360;6;68;7;8;10;0;2;101;0
206;Granby;2022-10-03;G;Granby, v;8;;67;361;11;81;23;2;23;0;2;142;0
206;Granby;2022-10-03;G;Granby, v;8;;68;355;20;80;11;5;25;0;0;141;0
206;Granby;2022-10-03;G;Granby, v;8;;69;363;21;69;16;7;26;0;0;139;0
206;Granby;2022-10-03;G;Granby, v;8;;70;356;16;72;20;10;25;0;0;143;0
206;Granby;2022-10-03;G;Granby, v;9;;71;395;15;72;16;6;16;0;1;126;1
206;Granby;2022-10-03;G;Granby, v;9;;72;396;14;69;22;9;23;0;1;138;5
206;Granby;2022-10-03;G;Granby, v;9;;73;390;25;63;21;10;36;0;2;157;3
206;Granby;2022-10-03;G;Granby, v;9;;74;384;20;71;14;8;23;1;1;138;3
206;Granby;2022-10-03;G;Granby, v;9;;75;400;14;66;32;5;25;0;1;143;4
206;Granby;2022-10-03;G;Granby, v;9;;76;400;23;93;18;11;18;0;6;169;8
206;Granby;2022-10-03;G;Granby, v;9;;77;395;13;55;7;7;24;2;3;111;1
