Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Allard Monique P.Q.;Bélanger Gilles C.A.Q.-E.F.L.;Gandey Mark P.C.Q./C.P.Q;Hamm Vicki-May P.L.Q./Q.L.P.;Lacroix Joel D.D.;Lamontagne Lacasse Martin P.C.Q-E.E.D.;Sassi Kenza Q.S.;B.V.;B.R.
120;Orford;2022-10-03;G;Magog, v;3;;60;357;15;77;1;16;0;21;22;152;1
120;Orford;2022-10-03;G;Magog, v;3;;61;347;13;53;1;3;0;17;18;105;4
120;Orford;2022-10-03;G;Magog, v;3;;62;353;17;67;0;14;2;27;25;152;5
120;Orford;2022-10-03;G;Magog, v;3;;63;360;15;52;0;9;3;16;21;116;4
120;Orford;2022-10-03;G;Magog, v;3;;64;353;22;59;0;25;2;25;25;158;2
120;Orford;2022-10-03;G;Magog, v;3;;65;355;32;67;0;20;0;29;23;171;4
120;Orford;2022-10-03;G;Magog, v;3;;66;364;12;84;1;27;1;27;25;177;1
120;Orford;2022-10-03;G;Magog, v;4;;67;397;19;84;1;21;3;34;18;180;3
120;Orford;2022-10-03;G;Magog, v;4;;68;387;16;53;0;28;1;11;24;133;3
120;Orford;2022-10-03;G;Magog, v;4;;69;392;22;78;1;24;1;21;28;175;5
120;Orford;2022-10-03;G;Magog, v;4;;70;385;26;68;0;23;0;22;20;159;0
120;Orford;2022-10-03;G;Magog, v;4;;71;399;20;59;1;27;1;39;35;182;1
120;Orford;2022-10-03;G;Magog, v;4;;72;390;27;119;0;15;0;28;26;215;4
120;Orford;2022-10-03;G;Magog, v;4;;73;391;22;97;0;26;0;24;35;204;0
120;Orford;2022-10-03;G;Magog, v;4;;74;398;26;77;2;13;1;27;25;171;3
120;Orford;2022-10-03;G;Magog, v;4;;75;401;23;61;0;12;1;28;24;149;0
120;Orford;2022-10-03;G;Magog, v;5;;76;383;16;62;2;12;0;13;20;125;3
120;Orford;2022-10-03;G;Magog, v;5;;77;379;21;77;0;14;1;14;44;171;2
120;Orford;2022-10-03;G;Magog, v;5;;78;399;10;54;0;15;2;21;24;126;2
