Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Abou-Khalil Alice C.A.Q.-E.F.L.;Baudelot Sonia P.L.Q./Q.L.P.;Buchanan Lynn P.V.Q./G.P.Q.;Dansereau-Redhead Catherine P.Q.;Léger Jessy Q.S.;Turmel Stéphane P.C.Q-E.E.D.;B.V.;B.R.
466;Fabre;2022-10-03;G;Laval, v;12;;87;406;25;65;2;9;22;37;160;1
466;Fabre;2022-10-03;G;Laval, v;12;;88;411;44;68;7;9;29;21;178;0
466;Fabre;2022-10-03;G;Laval, v;12;;89;399;45;47;2;18;22;49;183;0
466;Fabre;2022-10-03;G;Laval, v;12;;90;411;20;99;2;15;19;24;179;2
466;Fabre;2022-10-03;G;Laval, v;12;;91;392;33;56;3;23;16;32;163;1
466;Fabre;2022-10-03;G;Laval, v;12;;92;427;54;36;3;13;11;30;147;1
466;Fabre;2022-10-03;G;Laval, v;12;;93;416;56;41;3;15;26;23;164;1
466;Fabre;2022-10-03;G;Laval, v;13;;94;412;61;37;2;15;15;20;150;5
466;Fabre;2022-10-03;G;Laval, v;13;;95A;255;29;23;1;19;15;18;105;2
466;Fabre;2022-10-03;G;Laval, v;13;;95B;222;17;16;0;5;5;8;51;0
466;Fabre;2022-10-03;G;Laval, v;13;;96;396;62;41;3;21;22;21;170;4
466;Fabre;2022-10-03;G;Laval, v;13;;97;391;74;39;2;20;19;16;170;2
466;Fabre;2022-10-03;G;Laval, v;13;;98;386;43;28;0;5;21;22;119;0
466;Fabre;2022-10-03;G;Laval, v;13;;99;415;40;66;2;12;17;38;175;2
466;Fabre;2022-10-03;G;Laval, v;14;;100;389;49;26;2;15;17;12;121;0
466;Fabre;2022-10-03;G;Laval, v;14;;101;421;51;31;1;22;24;26;155;3
466;Fabre;2022-10-03;G;Laval, v;14;;102;413;42;19;2;28;22;17;130;3
466;Fabre;2022-10-03;G;Laval, v;14;;103;394;44;30;4;25;24;18;145;5
466;Fabre;2022-10-03;G;Laval, v;14;;104;399;54;36;2;32;33;13;170;6
466;Fabre;2022-10-03;G;Laval, v;14;;105;398;49;29;0;21;28;16;143;4
466;Fabre;2022-10-03;G;Laval, v;14;;106;389;47;28;1;22;24;18;140;8
466;Fabre;2022-10-03;G;Laval, v;14;;107;392;61;34;3;19;32;11;160;2
466;Fabre;2022-10-03;G;Laval, v;14;;108;389;58;42;3;15;28;19;165;3
466;Fabre;2022-10-03;G;Laval, v;14;;109;376;24;71;0;5;11;28;139;1
466;Fabre;2022-10-03;G;Laval, v;14;;110;386;58;43;0;17;16;31;165;1
466;Fabre;2022-10-03;G;Laval, v;14;;111;403;51;32;4;17;19;27;150;5
466;Fabre;2022-10-03;G;Laval, v;15;;112;360;42;36;3;18;23;22;144;1
466;Fabre;2022-10-03;G;Laval, v;15;;113;361;64;36;1;30;24;19;174;1
466;Fabre;2022-10-03;G;Laval, v;15;;114;369;36;35;4;10;19;26;130;1
466;Fabre;2022-10-03;G;Laval, v;15;;115;383;29;97;2;6;9;42;185;2
466;Fabre;2022-10-03;G;Laval, v;15;;116;396;49;79;2;14;19;40;203;0
466;Fabre;2022-10-03;G;Laval, v;15;;117;379;44;45;2;13;22;15;141;3
466;Fabre;2022-10-03;G;Laval, v;15;;118;393;64;49;1;20;16;22;172;8
466;Fabre;2022-10-03;G;Laval, v;15;;119;382;62;59;3;10;28;31;193;3
466;Fabre;2022-10-03;G;Laval, v;15;;120;359;59;26;2;31;29;13;160;5
466;Fabre;2022-10-03;G;Laval, v;15;;121;366;52;48;5;13;27;29;174;5
466;Fabre;2022-10-03;G;Laval, v;16;;122;404;63;34;4;18;15;23;157;3
