Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bourassa Kariane C.A.Q.-E.F.L.;Bureau Michel P.L.Q./Q.L.P.;Fortin Myriam Q.S.;Lacombe Odré P.C.Q-E.E.D.;Rodrigue Lucien P.Q.;Tremblay Stefany D.D.;B.V.;B.R.
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Beaupré, v;1;;85;386;97;9;18;49;30;0;203;2
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Beaupré, v;1;;86;383;52;7;24;46;12;0;141;1
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Beaupré, v;1;;87;339;50;4;18;23;22;0;117;0
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Beaupré, v;1;;88;395;76;14;20;24;27;3;164;1
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Beaupré, v;1;;89;389;59;9;27;48;33;1;177;3
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Beaupré, v;1;;90;399;80;2;24;43;36;0;185;1
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Beaupré, v;1;;91;380;51;9;21;25;32;0;138;2
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Sainte-Anne-de-Beaupré, v;1;;92A;215;20;2;15;11;16;1;65;2
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Sainte-Anne-de-Beaupré, v;1;;92B;214;39;4;16;13;18;0;90;2
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Sainte-Anne-de-Beaupré, v;1;;93;396;49;9;4;46;14;2;124;1
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Sainte-Anne-de-Beaupré, v;1;;94;404;55;7;13;41;15;1;132;3
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Sainte-Anne-de-Beaupré, v;1;;95;397;54;4;13;24;30;0;125;0
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Sainte-Anne-de-Beaupré, v;1;;96;408;63;8;12;49;15;1;148;6
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Sainte-Anne-de-Beaupré, v;1;;97;413;58;4;16;42;23;0;143;2
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Château-Richer, v;1;;98;392;62;8;16;61;22;1;170;3
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Château-Richer, v;1;;99;390;68;7;13;52;16;1;157;3
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Château-Richer, v;1;;100;379;61;4;19;42;31;1;158;4
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Château-Richer, v;1;;101;394;70;12;39;71;23;1;216;5
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Château-Richer, v;1;;102;386;86;7;17;55;41;0;206;2
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Château-Richer, v;1;;103;385;67;4;19;61;27;0;178;0
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Château-Richer, v;1;;104;370;77;8;14;44;28;2;173;1
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Château-Richer, v;1;;105;363;81;11;14;52;28;2;188;0
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Château-Richer, v;1;;106;381;74;2;26;78;21;1;202;7
