Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Boivin Guy E.A.;Fillion Marie-Soleil Ind;Grandmont Etienne Q.S.;Hélie Marie-Josée P.C.Q-E.E.D.;Joubert Jean-François C.Q.;Karim Andrew P.V.Q./G.P.Q.;Robin Jeanne P.Q.;St-Hilaire Pascale C.A.Q.-E.F.L.;Touré Ahmed Lamine P.L.Q./Q.L.P.;B.V.;B.R.
730;Taschereau;2022-10-03;G;Québec, v;53;;92;327;0;0;86;18;0;1;24;28;5;162;2
730;Taschereau;2022-10-03;G;Québec, v;53;;93;326;0;0;75;14;0;1;12;20;3;125;0
730;Taschereau;2022-10-03;G;Québec, v;54;;94;302;0;1;89;4;1;1;26;14;1;137;2
730;Taschereau;2022-10-03;G;Québec, v;54;;95;308;0;0;65;10;0;3;30;21;6;135;0
730;Taschereau;2022-10-03;G;Québec, v;54;;96;342;0;1;64;9;0;2;32;34;7;149;1
730;Taschereau;2022-10-03;G;Québec, v;54;;97;336;0;1;91;10;0;1;23;11;12;149;2
730;Taschereau;2022-10-03;G;Québec, v;55;;98;347;0;0;73;9;0;2;25;18;3;130;0
730;Taschereau;2022-10-03;G;Québec, v;55;;99;359;0;0;52;16;0;2;27;38;3;138;2
730;Taschereau;2022-10-03;G;Québec, v;56;;100;361;0;0;47;28;0;1;24;61;9;170;2
730;Taschereau;2022-10-03;G;Québec, v;56;;101;375;1;0;47;32;1;2;19;36;10;148;0
730;Taschereau;2022-10-03;G;Québec, v;56;;102;356;1;0;40;16;0;0;33;37;10;137;0
730;Taschereau;2022-10-03;G;Québec, v;56;;103;353;0;0;48;15;0;1;26;39;6;135;4
730;Taschereau;2022-10-03;G;Québec, v;56;;104;332;0;1;65;14;3;4;23;26;5;141;2
730;Taschereau;2022-10-03;G;Québec, v;56;;105;352;0;0;62;15;1;2;26;30;2;138;2
730;Taschereau;2022-10-03;G;Québec, v;56;;106;353;1;1;73;14;3;2;32;33;5;164;1
730;Taschereau;2022-10-03;G;Québec, v;56;;107;348;1;0;47;12;0;1;27;29;5;122;3
730;Taschereau;2022-10-03;G;Québec, v;56;;108;364;0;0;78;18;0;1;21;22;9;149;4
730;Taschereau;2022-10-03;G;Québec, v;57;;109A;211;0;0;41;10;0;2;18;14;4;89;0
730;Taschereau;2022-10-03;G;Québec, v;57;;109B;215;1;0;12;8;0;1;20;24;1;67;2
