Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Caron Jocelyn P.Q.;Charles Gary P.C.Q-E.E.D.;Derraji Monsef P.L.Q./Q.L.P.;Hanif Neena B.M.-E.B.H.;Hennawy Michael D.D.;Lapierre Cynthia C.A.Q.-E.F.L.;Larue-Bourdages Maxime Q.S.;Marier Jean P.C.Q./C.P.Q;Reiniger Daniel P.V.Q./G.P.Q.;B.V.;B.R.
312;Nelligan;2022-10-03;G;Montréal, v;4;;64;381;5;26;78;2;3;13;6;3;6;142;0
312;Nelligan;2022-10-03;G;Montréal, v;4;;65;371;3;44;98;3;0;19;14;7;0;188;1
312;Nelligan;2022-10-03;G;Montréal, v;4;;66;385;1;18;93;5;0;15;8;6;2;148;4
312;Nelligan;2022-10-03;G;Montréal, v;5;;67;409;6;42;88;2;0;23;19;0;3;183;1
312;Nelligan;2022-10-03;G;Montréal, v;5;;68;414;8;40;103;9;0;28;4;8;6;206;0
312;Nelligan;2022-10-03;G;Montréal, v;5;;69;388;4;43;101;7;1;22;5;4;1;188;0
312;Nelligan;2022-10-03;G;Montréal, v;5;;70;408;6;27;122;3;1;33;11;8;4;215;0
312;Nelligan;2022-10-03;G;Montréal, v;5;;71;404;6;29;98;6;2;29;20;9;0;199;2
312;Nelligan;2022-10-03;G;Montréal, v;5;;72;396;6;32;83;4;1;20;7;7;4;164;3
312;Nelligan;2022-10-03;G;Montréal, v;5;;73;402;3;26;124;4;1;20;7;10;1;196;2
312;Nelligan;2022-10-03;G;Montréal, v;6;;74;380;9;18;71;3;0;16;9;3;5;134;4
312;Nelligan;2022-10-03;G;Montréal, v;6;;75;381;7;14;67;3;0;13;11;3;1;119;4
312;Nelligan;2022-10-03;G;Montréal, v;6;;76;393;7;28;39;1;1;24;13;1;1;115;0
312;Nelligan;2022-10-03;G;Montréal, v;6;;77;379;5;33;48;3;1;20;5;2;0;117;0
312;Nelligan;2022-10-03;G;Montréal, v;6;;78;391;9;24;43;5;1;28;6;2;3;121;1
312;Nelligan;2022-10-03;G;Montréal, v;6;;79;372;6;15;48;6;1;32;9;3;3;123;2
312;Nelligan;2022-10-03;G;Montréal, v;6;;80;394;6;26;88;8;3;17;15;4;7;174;2
312;Nelligan;2022-10-03;G;Montréal, v;6;;81;360;1;31;84;0;1;6;12;7;2;144;0
312;Nelligan;2022-10-03;G;Montréal, v;6;;82;380;1;20;38;3;2;10;5;6;0;85;1
312;Nelligan;2022-10-03;G;Montréal, v;6;;83;391;3;34;38;0;0;27;5;3;3;113;1
312;Nelligan;2022-10-03;G;Montréal, v;6;;84;388;4;15;98;3;2;12;6;1;3;144;0
312;Nelligan;2022-10-03;G;Montréal, v;6;;85;381;6;28;78;5;6;19;8;0;3;153;0
312;Nelligan;2022-10-03;G;Montréal, v;6;;86;378;1;32;65;0;0;20;7;6;2;133;2
312;Nelligan;2022-10-03;G;Montréal, v;6;;87;377;4;22;56;4;1;12;13;2;1;115;2
312;Nelligan;2022-10-03;G;Montréal, v;6;;88;405;12;27;60;5;0;22;10;4;3;143;0
312;Nelligan;2022-10-03;G;Montréal, v;7;;89;410;15;15;56;4;0;61;9;2;3;165;3
312;Nelligan;2022-10-03;G;Montréal, v;7;;90;398;10;19;36;1;1;41;8;4;1;121;0
312;Nelligan;2022-10-03;G;Montréal, v;7;;91;401;14;36;45;9;0;47;14;3;1;169;3
312;Nelligan;2022-10-03;G;Montréal, v;7;;92;409;7;26;94;4;0;42;8;1;0;182;0
312;Nelligan;2022-10-03;G;Montréal, v;7;;93;401;12;27;83;6;0;26;7;2;5;168;4
312;Nelligan;2022-10-03;G;Montréal, v;7;;94;413;3;44;102;3;0;20;11;2;2;187;0
312;Nelligan;2022-10-03;G;Montréal, v;7;;95;409;16;16;58;0;0;51;9;7;2;159;2
312;Nelligan;2022-10-03;G;Montréal, v;7;;96;402;16;16;35;2;0;46;18;1;1;135;5
312;Nelligan;2022-10-03;G;Montréal, v;8;;97;399;16;16;38;4;0;35;10;7;2;128;3
312;Nelligan;2022-10-03;G;Montréal, v;8;;98;390;11;21;78;4;0;28;14;0;5;161;1
312;Nelligan;2022-10-03;G;Montréal, v;8;;99;382;10;30;66;4;0;46;10;9;3;178;1
312;Nelligan;2022-10-03;G;Montréal, v;8;;100;377;17;26;73;3;1;27;20;1;0;168;0
312;Nelligan;2022-10-03;G;Montréal, v;8;;101;396;20;31;52;1;0;26;30;2;5;167;5
312;Nelligan;2022-10-03;G;Montréal, v;8;;102;402;15;12;63;2;0;44;16;1;4;157;0
312;Nelligan;2022-10-03;G;Montréal, v;8;;103;404;11;17;53;8;1;47;23;3;3;166;3
312;Nelligan;2022-10-03;G;Montréal, v;8;;104;403;22;30;43;0;0;53;19;4;3;174;1
312;Nelligan;2022-10-03;G;Montréal, v;8;;105;384;12;17;61;0;0;53;15;2;3;163;1
312;Nelligan;2022-10-03;G;Montréal, v;8;;106;392;5;18;111;2;0;22;9;5;2;174;1
312;Nelligan;2022-10-03;G;Montréal, v;8;;107;394;10;21;58;1;0;41;5;1;2;139;0
312;Nelligan;2022-10-03;G;Montréal, v;8;;108;400;9;27;75;0;2;30;13;4;5;165;0
312;Nelligan;2022-10-03;G;Montréal, v;9;;109;392;20;31;70;1;0;39;15;5;4;185;3
312;Nelligan;2022-10-03;G;Montréal, v;9;;110;377;3;39;66;5;0;37;2;5;4;161;4
312;Nelligan;2022-10-03;G;Montréal, v;9;;111;387;10;22;65;5;0;44;10;1;0;157;0
312;Nelligan;2022-10-03;G;Montréal, v;9;;112;386;11;29;84;1;0;40;7;1;2;175;1
312;Nelligan;2022-10-03;G;Montréal, v;9;;113;388;16;32;85;1;0;37;10;5;4;190;1
312;Nelligan;2022-10-03;G;Montréal, v;9;;114;393;11;32;81;0;1;39;11;5;1;181;4
312;Nelligan;2022-10-03;G;Montréal, v;9;;115;392;5;35;75;1;0;39;10;1;6;172;1
312;Nelligan;2022-10-03;G;Montréal, v;9;;116;380;15;16;60;4;0;58;25;2;1;181;0
312;Nelligan;2022-10-03;G;Montréal, v;10;;117;399;3;25;61;1;0;22;7;3;2;124;0
312;Nelligan;2022-10-03;G;Montréal, v;10;;118;364;4;12;51;0;0;20;0;3;0;90;0
312;Nelligan;2022-10-03;G;Montréal, v;10;;119;415;5;20;55;3;0;17;2;5;3;110;2
312;Nelligan;2022-10-03;G;Montréal, v;10;;120;390;4;15;65;3;2;14;11;6;3;123;0
312;Nelligan;2022-10-03;G;Montréal, v;10;;121;400;3;13;110;11;0;7;3;2;4;153;1
312;Nelligan;2022-10-03;G;Montréal, v;10;;122;389;7;16;84;3;0;13;10;6;5;144;0
312;Nelligan;2022-10-03;G;Montréal, v;11;;123;409;10;21;74;6;0;15;11;3;0;140;2
312;Nelligan;2022-10-03;G;Montréal, v;11;;124;410;6;25;100;3;0;21;18;3;1;177;0
312;Nelligan;2022-10-03;G;Montréal, v;11;;125;415;7;14;90;7;0;13;6;7;3;147;0
312;Nelligan;2022-10-03;G;Montréal, v;11;;126;407;2;29;93;3;0;20;1;4;4;156;1
312;Nelligan;2022-10-03;G;Montréal, v;11;;127;412;12;38;90;1;1;27;11;9;0;189;4
312;Nelligan;2022-10-03;G;Montréal, v;11;;128;414;5;20;111;8;0;23;22;3;7;199;1
312;Nelligan;2022-10-03;G;Montréal, v;11;;129;396;3;19;84;5;0;20;7;5;2;145;1
312;Nelligan;2022-10-03;G;Montréal, v;12;;130;373;7;27;75;3;0;19;14;6;2;153;2
312;Nelligan;2022-10-03;G;Montréal, v;12;;131;366;9;21;73;4;0;15;12;3;1;138;1
312;Nelligan;2022-10-03;G;Montréal, v;12;;132;358;1;16;78;5;1;12;16;3;1;133;1
312;Nelligan;2022-10-03;G;Montréal, v;12;;133;354;4;13;85;2;0;10;7;5;1;127;1
312;Nelligan;2022-10-03;G;Montréal, v;12;;134;370;3;17;88;4;0;29;1;6;2;150;1
312;Nelligan;2022-10-03;G;Montréal, v;12;;135;354;3;23;95;6;1;5;8;2;3;146;1
312;Nelligan;2022-10-03;G;Montréal, v;12;;136;356;3;23;74;2;1;11;7;6;7;134;3
312;Nelligan;2022-10-03;G;Montréal, v;12;;137;366;7;21;77;3;0;9;13;5;4;139;2
312;Nelligan;2022-10-03;G;Montréal, v;13;;138;384;5;27;91;5;1;11;6;2;5;153;4
312;Nelligan;2022-10-03;G;Montréal, v;13;;139;383;2;15;98;16;0;8;7;3;5;154;2
312;Nelligan;2022-10-03;G;Montréal, v;13;;140;382;1;30;96;4;0;16;3;3;1;154;2
312;Nelligan;2022-10-03;G;Montréal, v;13;;141;390;0;17;83;9;1;11;7;9;1;138;3
312;Nelligan;2022-10-03;G;Montréal, v;13;;142;391;5;41;82;7;0;13;12;4;4;168;1
312;Nelligan;2022-10-03;G;Montréal, v;13;;143;375;3;20;75;6;0;15;6;3;3;131;1
312;Nelligan;2022-10-03;G;Montréal, v;13;;144;396;4;25;103;4;1;15;7;3;0;162;0
312;Nelligan;2022-10-03;G;Montréal, v;13;;145;387;8;21;63;7;2;21;8;0;4;134;2
312;Nelligan;2022-10-03;G;Kirkland, v;5;Regr. BVO-33;500;154;0;0;0;0;0;0;0;0;0;0;0
