Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Cantin David P51;Corbeil Priscilla P.Q.;Domingue Jean P.C.Q-E.E.D.;Duhaime Ève Q.S.;Essaidi Odevie P.V.Q./G.P.Q.;Julien Jonatan C.A.Q.-E.F.L.;Pelletier Daniel D.D.;Sissoko Mahamadou P.L.Q./Q.L.P.;B.V.;B.R.
748;Charlesbourg;2022-10-03;G;Québec, v;86;;61;392;0;30;40;30;3;77;0;15;195;6
748;Charlesbourg;2022-10-03;G;Québec, v;86;;62;402;2;33;28;50;1;84;1;13;212;4
748;Charlesbourg;2022-10-03;G;Québec, v;86;;63;389;0;32;48;34;3;82;0;19;218;3
748;Charlesbourg;2022-10-03;G;Québec, v;86;;64;382;1;42;38;22;2;81;0;13;199;4
748;Charlesbourg;2022-10-03;G;Québec, v;86;;65;383;0;28;48;37;1;64;0;14;192;2
748;Charlesbourg;2022-10-03;G;Québec, v;86;;66;377;1;28;41;43;3;54;1;8;179;0
748;Charlesbourg;2022-10-03;G;Québec, v;87;;67;342;0;28;30;39;1;49;0;9;156;1
748;Charlesbourg;2022-10-03;G;Québec, v;87;;68;342;0;18;32;25;4;57;0;11;147;1
748;Charlesbourg;2022-10-03;G;Québec, v;87;;69;356;2;43;23;27;0;70;1;11;177;1
748;Charlesbourg;2022-10-03;G;Québec, v;87;;70;357;1;39;17;27;1;79;0;6;170;2
748;Charlesbourg;2022-10-03;G;Québec, v;87;;71;351;0;13;53;23;2;27;0;5;123;1
748;Charlesbourg;2022-10-03;G;Québec, v;87;;72;363;1;34;32;37;4;60;0;9;177;0
748;Charlesbourg;2022-10-03;G;Québec, v;87;;73;371;0;25;36;17;2;60;0;11;151;3
748;Charlesbourg;2022-10-03;G;Québec, v;88;;74;344;0;18;37;20;1;73;0;9;158;1
748;Charlesbourg;2022-10-03;G;Québec, v;88;;75;349;1;30;36;14;0;78;0;16;175;0
748;Charlesbourg;2022-10-03;G;Québec, v;88;;76;351;0;27;44;25;2;66;0;15;179;1
748;Charlesbourg;2022-10-03;G;Québec, v;88;;77;383;0;33;31;19;0;72;0;12;167;1
748;Charlesbourg;2022-10-03;G;Québec, v;88;;78;367;1;28;33;26;2;76;0;12;178;2
748;Charlesbourg;2022-10-03;G;Québec, v;88;;79;348;0;17;35;24;0;70;0;9;155;0
748;Charlesbourg;2022-10-03;G;Québec, v;88;;80;361;1;15;41;21;2;41;0;9;130;5
748;Charlesbourg;2022-10-03;G;Québec, v;88;;81;340;1;21;33;17;1;43;0;4;120;1
748;Charlesbourg;2022-10-03;G;Québec, v;89;;82;396;0;20;37;20;1;57;0;11;146;3
748;Charlesbourg;2022-10-03;G;Québec, v;89;;83;403;0;10;52;26;1;54;0;22;165;5
748;Charlesbourg;2022-10-03;G;Québec, v;89;;84;387;0;32;34;30;4;77;0;8;185;2
748;Charlesbourg;2022-10-03;G;Québec, v;89;;85;373;0;18;43;18;2;70;0;11;162;0
748;Charlesbourg;2022-10-03;G;Québec, v;89;;86;379;0;27;36;31;1;89;0;9;193;2
748;Charlesbourg;2022-10-03;G;Québec, v;89;;87;373;0;31;56;16;4;77;0;11;195;7
748;Charlesbourg;2022-10-03;G;Québec, v;89;;88;400;2;21;48;23;0;52;0;15;161;2
748;Charlesbourg;2022-10-03;G;Québec, v;89;;89;378;0;15;26;16;0;60;0;8;125;2
748;Charlesbourg;2022-10-03;G;Québec, v;89;;90;384;0;27;30;21;1;53;0;6;138;4
748;Charlesbourg;2022-10-03;G;Québec, v;90;;91;405;0;19;26;15;2;55;0;6;123;11
748;Charlesbourg;2022-10-03;G;Québec, v;90;;92;398;1;17;26;10;2;58;0;8;122;1
748;Charlesbourg;2022-10-03;G;Québec, v;90;;93;393;0;32;25;11;3;59;0;6;136;1
748;Charlesbourg;2022-10-03;G;Québec, v;90;;94;406;2;30;21;21;0;62;0;9;145;1
748;Charlesbourg;2022-10-03;G;Québec, v;90;;95;412;4;21;52;20;1;83;1;22;204;6
748;Charlesbourg;2022-10-03;G;Québec, v;90;;96;397;0;23;44;21;1;91;0;9;189;1
748;Charlesbourg;2022-10-03;G;Québec, v;90;;97;400;0;10;17;11;1;62;1;14;116;0
748;Charlesbourg;2022-10-03;G;Québec, v;90;;98;408;1;33;50;18;4;83;0;10;199;4
748;Charlesbourg;2022-10-03;G;Québec, v;90;;99;394;2;45;44;18;4;98;0;14;225;7
748;Charlesbourg;2022-10-03;G;Québec, v;91;;100;334;0;19;34;20;0;73;1;11;158;1
