Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Coulombe Éloïse P.C.Q-E.E.D.;Patenaude Samuel P.Q.;Picard Marilyne C.A.Q.-E.F.L.;Samson Sophie Q.S.;Solarik Kristian P.V.Q./G.P.Q.;St-Amour Catherine P.L.Q./Q.L.P.;B.V.;B.R.
220;Soulanges;2022-10-03;G;Saint-Polycarpe, m;1;;82;350;33;25;64;23;2;7;154;5
220;Soulanges;2022-10-03;G;Saint-Polycarpe, m;1;;83;368;35;31;67;36;2;13;184;6
220;Soulanges;2022-10-03;G;Saint-Polycarpe, m;1;;84;376;28;33;97;36;5;14;213;3
220;Soulanges;2022-10-03;G;Saint-Polycarpe, m;1;;85;383;37;32;99;24;1;14;207;3
220;Soulanges;2022-10-03;G;Rivière-Beaudette, m;1;;86;404;50;29;93;33;4;15;224;6
220;Soulanges;2022-10-03;G;Rivière-Beaudette, m;1;;87;383;32;31;83;41;2;9;198;0
220;Soulanges;2022-10-03;G;Rivière-Beaudette, m;1;;88;390;28;26;84;18;9;15;180;3
220;Soulanges;2022-10-03;G;Rivière-Beaudette, m;1;;89;381;33;19;82;15;4;32;185;3
220;Soulanges;2022-10-03;G;Rivière-Beaudette, m;1;;90;381;24;24;83;27;1;14;173;0
220;Soulanges;2022-10-03;G;Saint-Zotique, m;1;;91;392;25;23;96;8;1;14;167;2
220;Soulanges;2022-10-03;G;Saint-Zotique, m;1;;92;392;18;19;95;17;1;3;153;0
220;Soulanges;2022-10-03;G;Saint-Zotique, m;1;;93;401;21;14;64;15;1;11;126;0
220;Soulanges;2022-10-03;G;Saint-Zotique, m;1;;94;413;21;30;83;23;2;7;166;3
220;Soulanges;2022-10-03;G;Saint-Zotique, m;1;;95;421;13;35;94;27;7;19;195;0
220;Soulanges;2022-10-03;G;Saint-Zotique, m;1;;96;423;20;32;89;30;3;15;189;2
220;Soulanges;2022-10-03;G;Saint-Zotique, m;1;;97;411;19;29;87;29;2;29;195;4
220;Soulanges;2022-10-03;G;Saint-Zotique, m;2;;98;406;33;18;63;26;4;30;174;1
220;Soulanges;2022-10-03;G;Saint-Zotique, m;2;;99;388;28;29;90;27;1;16;191;2
220;Soulanges;2022-10-03;G;Saint-Zotique, m;2;;100;393;6;35;93;32;1;18;185;4
220;Soulanges;2022-10-03;G;Saint-Zotique, m;2;;101;390;19;10;78;15;1;8;131;2
220;Soulanges;2022-10-03;G;Saint-Zotique, m;2;;102;401;22;34;91;23;4;17;191;6
220;Soulanges;2022-10-03;G;Saint-Zotique, m;2;;103;378;15;42;91;23;1;20;192;3
220;Soulanges;2022-10-03;G;Saint-Zotique, m;2;;104;375;23;19;91;25;2;16;176;6
220;Soulanges;2022-10-03;G;Saint-Zotique, m;2;;105;363;11;29;86;16;1;14;157;2
220;Soulanges;2022-10-03;G;Saint-Zotique, m;2;;106;387;26;29;84;31;2;21;193;2
220;Soulanges;2022-10-03;G;Saint-Zotique, m;2;;107A;219;3;10;35;13;1;4;66;0
220;Soulanges;2022-10-03;G;Saint-Zotique, m;2;;107B;258;5;11;53;5;1;9;84;1
220;Soulanges;2022-10-03;G;Saint-Zotique, m;2;;108A;204;9;14;40;20;4;11;98;1
220;Soulanges;2022-10-03;G;Saint-Zotique, m;2;;108B;222;22;12;40;25;3;11;113;2
220;Soulanges;2022-10-03;G;Les Coteaux, m;1;;109;350;19;23;45;12;3;7;109;1
220;Soulanges;2022-10-03;G;Les Coteaux, m;1;;110A;217;14;4;44;15;1;11;89;5
220;Soulanges;2022-10-03;G;Les Coteaux, m;1;;110B;224;16;10;53;11;4;10;104;1
220;Soulanges;2022-10-03;G;Les Coteaux, m;1;;111;360;20;26;56;23;4;7;136;3
220;Soulanges;2022-10-03;G;Les Coteaux, m;1;;112;391;28;27;99;28;3;11;196;0
220;Soulanges;2022-10-03;G;Les Coteaux, m;1;;113;372;10;23;78;26;1;12;150;3
220;Soulanges;2022-10-03;G;Les Coteaux, m;1;;114;371;18;23;77;34;5;10;167;4
220;Soulanges;2022-10-03;G;Les Coteaux, m;1;;115;393;15;25;78;16;0;10;144;1
220;Soulanges;2022-10-03;G;Les Coteaux, m;2;;116;326;22;18;73;17;3;8;141;4
220;Soulanges;2022-10-03;G;Les Coteaux, m;2;;117;330;31;19;65;31;1;11;158;5
220;Soulanges;2022-10-03;G;Les Coteaux, m;2;;118;376;28;11;59;36;2;26;162;4
220;Soulanges;2022-10-03;G;Les Coteaux, m;2;;119;334;22;14;48;24;3;7;118;6
220;Soulanges;2022-10-03;G;Les Coteaux, m;2;;120;341;22;21;65;22;2;13;145;1
220;Soulanges;2022-10-03;G;Coteau-du-Lac, v;1;;121;389;11;22;124;27;2;17;203;1
220;Soulanges;2022-10-03;G;Coteau-du-Lac, v;1;;122A;230;19;11;52;9;2;11;104;1
220;Soulanges;2022-10-03;G;Coteau-du-Lac, v;1;;122B;233;18;12;49;16;2;11;108;1
220;Soulanges;2022-10-03;G;Coteau-du-Lac, v;1;;123;412;30;31;97;24;4;20;206;1
220;Soulanges;2022-10-03;G;Coteau-du-Lac, v;1;;124;402;16;28;123;23;3;22;215;1
220;Soulanges;2022-10-03;G;Coteau-du-Lac, v;1;;125;401;31;18;110;41;2;18;220;9
220;Soulanges;2022-10-03;G;Coteau-du-Lac, v;1;;126;419;22;32;72;29;3;19;177;1
220;Soulanges;2022-10-03;G;Coteau-du-Lac, v;1;;127;410;31;28;98;28;2;6;193;5
220;Soulanges;2022-10-03;G;Coteau-du-Lac, v;2;;128;385;28;25;90;24;3;10;180;3
220;Soulanges;2022-10-03;G;Coteau-du-Lac, v;2;;129;363;28;37;85;26;3;28;207;3
220;Soulanges;2022-10-03;G;Coteau-du-Lac, v;2;;130;369;15;34;115;24;3;17;208;0
220;Soulanges;2022-10-03;G;Coteau-du-Lac, v;2;;131;358;7;37;105;29;4;21;203;2
220;Soulanges;2022-10-03;G;Coteau-du-Lac, v;2;;132;350;13;22;96;35;2;10;178;1
220;Soulanges;2022-10-03;G;Coteau-du-Lac, v;2;;133;346;37;24;94;33;1;6;195;0
220;Soulanges;2022-10-03;G;Coteau-du-Lac, v;2;;134;340;12;22;96;28;3;9;170;2
220;Soulanges;2022-10-03;G;Coteau-du-Lac, v;2;;135;314;23;21;81;16;2;15;158;3
220;Soulanges;2022-10-03;G;Saint-Clet, m;1;;136;352;38;24;89;21;4;17;193;3
220;Soulanges;2022-10-03;G;Saint-Clet, m;1;;137;331;15;24;110;26;6;18;199;5
220;Soulanges;2022-10-03;G;Saint-Clet, m;1;;138;338;22;20;101;32;2;12;189;3
220;Soulanges;2022-10-03;G;Saint-Clet, m;1;;139;345;24;33;122;17;4;15;215;0
220;Soulanges;2022-10-03;G;Les Cèdres, m;1;;140;366;23;11;77;19;1;14;145;3
220;Soulanges;2022-10-03;G;Les Cèdres, m;1;;141;354;14;15;67;20;4;17;137;3
220;Soulanges;2022-10-03;G;Les Cèdres, m;1;;142;378;14;36;61;14;3;24;152;5
220;Soulanges;2022-10-03;G;Les Cèdres, m;1;;143;382;29;22;87;21;4;18;181;3
220;Soulanges;2022-10-03;G;Les Cèdres, m;1;;144;378;29;29;63;34;1;26;182;1
220;Soulanges;2022-10-03;G;Les Cèdres, m;1;;145;381;20;30;84;25;0;17;176;1
220;Soulanges;2022-10-03;G;Les Cèdres, m;1;;146;373;13;21;95;27;2;16;174;4
220;Soulanges;2022-10-03;G;Les Cèdres, m;2;;147;417;16;23;82;24;7;19;171;1
220;Soulanges;2022-10-03;G;Les Cèdres, m;2;;148;416;21;22;99;33;3;20;198;3
