Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Aubertin Marie-Noëlle Q.S.;Craig-Larouche Jeanne P.Q.;Girard Eric C.A.Q.-E.F.L.;Medaino-Tardif Audrey P.L.Q./Q.L.P.;Messore Valerie P.C.Q-E.E.D.;Shahsavar-Arshad Victoria P.V.Q./G.P.Q.;B.V.;B.R.
502;Groulx;2022-10-03;G;Rosemère, v;2;;115;358;42;31;57;25;7;1;163;0
502;Groulx;2022-10-03;G;Rosemère, v;2;;116;366;27;34;69;20;16;2;168;2
502;Groulx;2022-10-03;G;Rosemère, v;2;;117;361;30;26;48;20;25;2;151;1
502;Groulx;2022-10-03;G;Rosemère, v;2;;118;368;22;27;47;25;15;6;142;1
502;Groulx;2022-10-03;G;Rosemère, v;2;;119;345;27;23;56;23;12;4;145;1
502;Groulx;2022-10-03;G;Rosemère, v;2;;120;377;19;15;52;33;34;1;154;3
502;Groulx;2022-10-03;G;Rosemère, v;2;;121;363;8;10;63;59;20;1;161;0
502;Groulx;2022-10-03;G;Rosemère, v;3;;122;404;19;18;58;54;19;3;171;2
502;Groulx;2022-10-03;G;Rosemère, v;3;;123;389;20;29;59;40;22;5;175;2
502;Groulx;2022-10-03;G;Rosemère, v;3;;124;383;28;20;72;41;21;2;184;1
502;Groulx;2022-10-03;G;Rosemère, v;3;;125;419;49;25;65;29;21;5;194;0
502;Groulx;2022-10-03;G;Rosemère, v;3;;126;395;26;29;67;26;2;2;152;3
502;Groulx;2022-10-03;G;Rosemère, v;3;;127;403;28;25;60;46;11;3;173;1
