Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Choquette Raymond D.D.;Girard-Duchaine Alexandre P.Q.;Lavertu Pierre-Luc Q.S.;Lemieux Louis C.A.Q.-E.F.L.;Melnitzky Dominick P.C.Q-E.E.D.;Roy Benjamin P.L.Q./Q.L.P.;Thériault Denis C.Q.;B.V.;B.R.
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;16;;110;404;1;32;46;77;29;21;1;207;2
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;16;;111A;230;0;39;23;55;12;3;0;132;1
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;16;;111B;277;0;28;26;51;3;9;0;117;5
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;16;;112;392;2;43;43;83;11;5;2;189;8
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;16;;113;378;0;36;34;62;18;11;2;163;12
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;16;;114;400;0;40;29;68;12;17;1;167;1
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;16;;115;400;0;34;19;93;17;14;2;179;1
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;16;;116;394;2;47;50;77;14;9;0;199;1
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;17;;117;373;1;19;28;54;23;8;1;134;5
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;17;;118;419;1;20;21;62;12;8;1;125;0
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;17;;119;340;1;20;12;46;15;6;1;101;3
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;17;;120;398;0;26;16;53;17;7;1;120;2
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;17;;121;398;0;18;20;63;24;8;3;136;6
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;17;;122;407;1;24;32;48;17;6;1;129;5
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;17;;123;396;0;23;25;60;13;13;2;136;4
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;17;;124;386;0;33;16;75;9;8;0;141;4
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;17;;125;404;0;25;22;68;14;9;0;138;3
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;17;;126;398;0;42;27;82;12;11;0;174;3
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;18;;127;398;1;44;37;82;18;22;1;205;2
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;18;;128;377;1;21;19;58;10;10;1;120;0
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;18;;129;376;1;7;3;28;4;7;0;50;1
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;18;;130;368;0;24;27;66;18;10;3;148;3
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;18;;131;381;1;28;15;68;11;11;2;136;1
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;18;;132;385;1;19;14;62;2;8;0;106;0
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;18;;133;389;0;33;34;60;14;9;2;152;3
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;19;;134;410;0;31;27;96;16;11;5;186;0
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;19;;135;405;0;32;33;81;10;19;0;175;6
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;19;;136;427;0;15;37;82;11;14;2;161;0
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;19;;137;378;0;30;35;65;12;12;1;155;0
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;19;;138;408;1;33;29;79;23;5;3;173;4
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;19;;139;404;0;31;41;70;8;10;1;161;0
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;19;;140;366;1;38;18;95;9;7;2;170;3
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;20;;141;377;0;29;23;73;17;12;0;154;5
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;20;;142;371;0;31;19;89;15;12;0;166;2
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;20;;143;366;0;50;39;74;6;11;0;180;1
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;20;;144;370;0;37;34;76;17;13;1;178;1
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;20;;145;403;1;40;33;96;16;3;2;191;3
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;20;;146;368;0;35;30;84;7;5;1;162;2
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;21;;147;352;0;29;22;75;11;11;1;149;1
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;21;;148;355;2;33;23;91;12;27;0;188;2
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;21;;149;371;0;26;35;103;21;17;1;203;4
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;21;;150;383;0;39;36;95;9;13;1;193;3
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;21;;151;367;0;44;15;67;19;11;7;163;3
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;21;;152A;227;0;17;9;35;10;7;3;81;3
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;21;;152B;213;0;18;11;38;11;3;0;81;0
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;22;;153;359;0;40;32;61;11;9;0;153;3
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;22;;154;393;0;39;25;73;29;10;2;178;3
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;22;;155;362;1;29;32;81;18;8;1;170;3
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;22;;156;380;0;31;27;114;19;12;0;203;4
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;22;;157;361;0;31;13;100;10;20;1;175;1
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;22;;158;372;0;31;17;68;10;8;0;134;4
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;22;;159;361;2;39;26;78;19;4;4;172;4
