Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Blanchard Marc P.L.Q./Q.L.P.;Dauphinais Chantal P.C.Q-E.E.D.;Desforges Claudine P.Q.;Poirier Emilie Q.S.;Reid Claude C.A.Q.-E.F.L.;Savard Hélène P.V.Q./G.P.Q.;Taillefer Mathieu C.Q.;B.V.;B.R.
218;Beauharnois;2022-10-03;G;Beauharnois, v;2;;98;394;3;12;28;18;55;2;2;120;3
218;Beauharnois;2022-10-03;G;Beauharnois, v;2;;99;387;11;11;25;21;69;0;0;137;2
218;Beauharnois;2022-10-03;G;Beauharnois, v;2;;100;397;13;19;19;21;36;3;1;112;3
218;Beauharnois;2022-10-03;G;Beauharnois, v;2;;101;390;9;8;30;15;66;0;1;129;0
218;Beauharnois;2022-10-03;G;Beauharnois, v;2;;102;394;9;17;44;28;72;0;0;170;4
218;Beauharnois;2022-10-03;G;Beauharnois, v;2;;103;388;12;22;18;21;71;2;0;146;0
218;Beauharnois;2022-10-03;G;Beauharnois, v;3;;104;379;5;20;46;21;64;1;1;158;3
218;Beauharnois;2022-10-03;G;Beauharnois, v;3;;105;393;8;13;31;36;71;0;0;159;2
218;Beauharnois;2022-10-03;G;Beauharnois, v;3;;106A;202;3;8;14;18;32;1;0;76;1
218;Beauharnois;2022-10-03;G;Beauharnois, v;3;;106B;246;5;9;18;14;29;2;0;77;2
218;Beauharnois;2022-10-03;G;Beauharnois, v;3;;107;390;9;26;35;39;51;1;0;161;3
218;Beauharnois;2022-10-03;G;Beauharnois, v;4;;108;371;6;15;34;27;72;3;2;159;2
218;Beauharnois;2022-10-03;G;Beauharnois, v;4;;109;366;5;14;29;32;72;2;1;155;3
218;Beauharnois;2022-10-03;G;Beauharnois, v;4;;110;374;5;16;41;36;75;3;0;176;2
218;Beauharnois;2022-10-03;G;Beauharnois, v;4;;111;361;14;14;30;20;68;1;1;148;2
218;Beauharnois;2022-10-03;G;Beauharnois, v;4;;112;375;2;21;32;23;91;1;0;170;3
218;Beauharnois;2022-10-03;G;Beauharnois, v;4;;113;373;8;18;34;19;65;2;1;147;2
218;Beauharnois;2022-10-03;G;Beauharnois, v;5;;114;383;22;14;27;25;84;1;1;174;3
218;Beauharnois;2022-10-03;G;Beauharnois, v;5;;115;374;1;27;36;23;88;2;0;177;2
218;Beauharnois;2022-10-03;G;Beauharnois, v;5;;116;379;11;26;36;23;73;0;0;169;3
218;Beauharnois;2022-10-03;G;Beauharnois, v;5;;117;379;6;6;28;23;116;2;0;181;1
218;Beauharnois;2022-10-03;G;Beauharnois, v;5;;118;370;14;15;46;25;76;1;0;177;3
