Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bérubé-Simard Félix-Antoine P.V.Q./G.P.Q.;Gamache Christiane C.A.Q.-E.F.L.;Ledoux Mario C.Q.;Moreau Claude P.M.L.Q.;Perreault Lucie D.D.;Peter Denise P.C.Q-E.E.D.;Potvin Michaël P.Q.;Robert Charles P.L.Q./Q.L.P.;Zanetti Sol Q.S.;B.V.;B.R.
736;Jean-Lesage;2022-10-03;G;Québec, v;72;;87B;217;3;20;0;0;0;14;14;6;29;86;1
736;Jean-Lesage;2022-10-03;G;Québec, v;72;;88;348;0;39;1;0;0;18;16;3;22;99;0
736;Jean-Lesage;2022-10-03;G;Québec, v;72;;89;338;2;45;0;0;0;37;22;4;32;142;0
736;Jean-Lesage;2022-10-03;G;Québec, v;72;;90;349;1;41;0;0;1;53;23;10;31;160;6
736;Jean-Lesage;2022-10-03;G;Québec, v;72;;91;368;1;47;0;0;0;34;19;5;31;137;2
736;Jean-Lesage;2022-10-03;G;Québec, v;73;;92;329;2;29;0;0;0;29;20;1;49;130;2
736;Jean-Lesage;2022-10-03;G;Québec, v;73;;93;321;5;36;0;0;1;32;17;10;25;126;2
736;Jean-Lesage;2022-10-03;G;Québec, v;73;;94;328;5;40;0;0;0;42;21;7;23;138;0
736;Jean-Lesage;2022-10-03;G;Québec, v;73;;95;339;4;36;1;0;0;33;16;6;23;119;3
736;Jean-Lesage;2022-10-03;G;Québec, v;73;;96;341;2;54;0;0;0;15;22;5;31;129;2
736;Jean-Lesage;2022-10-03;G;Québec, v;73;;97;340;1;37;0;0;0;25;24;9;31;127;0
736;Jean-Lesage;2022-10-03;G;Québec, v;73;;98;320;2;33;0;0;0;37;13;5;54;144;2
736;Jean-Lesage;2022-10-03;G;Québec, v;73;;99;321;3;39;1;0;0;25;22;2;28;120;3
736;Jean-Lesage;2022-10-03;G;Québec, v;73;;100;330;0;27;1;0;0;17;8;2;30;85;1
736;Jean-Lesage;2022-10-03;G;Québec, v;73;;101;332;1;52;1;0;0;33;28;9;36;160;1
736;Jean-Lesage;2022-10-03;G;Québec, v;74;;102;349;0;38;1;0;0;34;15;6;29;123;3
736;Jean-Lesage;2022-10-03;G;Québec, v;74;;103A;231;0;32;1;0;0;19;7;2;34;95;0
736;Jean-Lesage;2022-10-03;G;Québec, v;74;;103B;246;0;33;0;0;1;16;12;10;29;101;0
736;Jean-Lesage;2022-10-03;G;Québec, v;74;;104;363;1;34;1;0;1;28;18;14;43;140;3
736;Jean-Lesage;2022-10-03;G;Québec, v;74;;105;333;4;53;2;0;0;21;9;5;28;122;0
736;Jean-Lesage;2022-10-03;G;Québec, v;74;;106;351;3;67;0;0;0;19;14;12;24;139;4
736;Jean-Lesage;2022-10-03;G;Québec, v;75;;107;335;4;50;0;0;0;37;18;7;37;153;2
736;Jean-Lesage;2022-10-03;G;Québec, v;75;;108;352;4;75;0;0;0;24;27;7;30;167;0
736;Jean-Lesage;2022-10-03;G;Québec, v;75;;109;301;0;15;0;0;0;1;2;3;1;22;0
736;Jean-Lesage;2022-10-03;G;Québec, v;75;;110;345;0;78;0;0;1;34;22;4;40;179;2
736;Jean-Lesage;2022-10-03;G;Québec, v;76;;111;343;0;50;0;0;0;38;27;13;28;156;1
736;Jean-Lesage;2022-10-03;G;Québec, v;76;;112;332;1;64;0;0;0;24;16;5;17;127;0
736;Jean-Lesage;2022-10-03;G;Québec, v;76;;113;331;1;57;0;0;0;12;19;4;15;108;2
736;Jean-Lesage;2022-10-03;G;Québec, v;76;;114;241;0;37;0;0;0;14;7;6;11;75;0
736;Jean-Lesage;2022-10-03;G;Québec, v;76;;115;353;0;47;0;0;0;14;15;6;13;95;3
736;Jean-Lesage;2022-10-03;G;Québec, v;76;;116;415;1;111;1;0;0;15;17;17;12;174;1
736;Jean-Lesage;2022-10-03;G;Québec, v;76;;117A;212;0;46;0;0;0;9;8;4;4;71;0
736;Jean-Lesage;2022-10-03;G;Québec, v;76;;117B;258;1;54;0;0;0;8;8;7;11;89;0
736;Jean-Lesage;2022-10-03;G;Québec, v;76;;118;384;1;78;0;0;0;35;14;11;47;186;3
736;Jean-Lesage;2022-10-03;G;Québec, v;76;;119;372;1;56;0;2;0;31;22;12;39;163;0
736;Jean-Lesage;2022-10-03;G;Québec, v;61;Regr. BVO-15;500;124;0;0;0;0;0;0;0;0;0;0;0
736;Jean-Lesage;2022-10-03;G;Québec, v;62;Regr. BVO-19;501;98;0;0;0;0;0;0;0;0;0;0;0
736;Jean-Lesage;2022-10-03;G;Québec, v;62;Regr. BVO-23;502;20;0;0;0;0;0;0;0;0;0;0;0
736;Jean-Lesage;2022-10-03;G;Québec, v;62;Regr. BVO-27;503;23;0;0;0;0;0;0;0;0;0;0;0
736;Jean-Lesage;2022-10-03;G;Québec, v;67;Regr. BVO-53;504;82;0;0;0;0;0;0;0;0;0;0;0
736;Jean-Lesage;2022-10-03;G;Québec, v;73;Regr. BVO-54;505;50;0;0;0;0;0;0;0;0;0;0;0
736;Jean-Lesage;2022-10-03;G;Québec, v;70;Regr. BVO-75;506;141;0;0;0;0;0;0;0;0;0;0;0
736;Jean-Lesage;2022-10-03;G;Québec, v;70;Regr. BVO-79;507;99;0;0;0;0;0;0;0;0;0;0;0
