Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Daou Grace P.C.Q-E.E.D.;Hanna Marie-France D.D.;Labelle Frédéric P.Q.;Laframboise Mario C.A.Q.-E.F.L.;Mercho Alexandre P.L.Q./Q.L.P.;Michaud Éric Q.S.;B.V.;B.R.
536;Blainville;2022-10-03;G;Blainville, v;13;;122;370;14;1;28;85;26;17;171;4
536;Blainville;2022-10-03;G;Lorraine, v;1;;123;371;18;1;14;60;38;12;143;0
536;Blainville;2022-10-03;G;Lorraine, v;1;;124;384;23;0;19;69;36;15;162;1
536;Blainville;2022-10-03;G;Lorraine, v;1;;125;378;20;0;37;67;24;60;208;3
536;Blainville;2022-10-03;G;Lorraine, v;1;;126;391;17;2;33;62;20;41;175;2
536;Blainville;2022-10-03;G;Lorraine, v;1;;127;374;22;1;35;73;22;34;187;2
536;Blainville;2022-10-03;G;Lorraine, v;1;;128;377;27;0;22;71;48;40;208;2
536;Blainville;2022-10-03;G;Lorraine, v;1;;129;372;22;1;28;66;20;36;173;2
536;Blainville;2022-10-03;G;Lorraine, v;1;;130;382;27;0;26;63;30;32;178;1
536;Blainville;2022-10-03;G;Lorraine, v;2;;131;332;20;0;34;70;22;28;174;1
536;Blainville;2022-10-03;G;Lorraine, v;2;;132;339;13;1;26;70;23;27;160;0
536;Blainville;2022-10-03;G;Lorraine, v;2;;133;333;11;1;24;76;16;23;151;5
536;Blainville;2022-10-03;G;Lorraine, v;2;;134;346;13;0;13;53;24;19;122;1
536;Blainville;2022-10-03;G;Lorraine, v;2;;135;337;21;0;22;55;21;33;152;1
536;Blainville;2022-10-03;G;Lorraine, v;2;;136;343;19;0;15;61;33;13;141;1
536;Blainville;2022-10-03;G;Lorraine, v;3;;137;350;16;1;26;62;23;32;160;8
536;Blainville;2022-10-03;G;Lorraine, v;3;;138;356;10;0;22;50;33;49;164;6
536;Blainville;2022-10-03;G;Lorraine, v;3;;139;335;17;1;27;56;27;24;152;2
536;Blainville;2022-10-03;G;Lorraine, v;3;;140;342;19;2;30;75;32;17;175;6
536;Blainville;2022-10-03;G;Lorraine, v;3;;141;353;20;2;33;69;25;26;175;0
536;Blainville;2022-10-03;G;Lorraine, v;3;;142;348;7;0;23;54;14;11;109;0
536;Blainville;2022-10-03;G;Bois-des-Filion, v;1;;143;366;16;2;22;61;30;23;154;1
536;Blainville;2022-10-03;G;Bois-des-Filion, v;1;;144;382;18;4;29;62;13;21;147;0
536;Blainville;2022-10-03;G;Bois-des-Filion, v;1;;145;374;15;0;18;42;11;23;109;4
536;Blainville;2022-10-03;G;Bois-des-Filion, v;1;;146;380;18;2;26;71;12;28;157;1
536;Blainville;2022-10-03;G;Bois-des-Filion, v;1;;147;377;15;0;27;49;16;30;137;7
536;Blainville;2022-10-03;G;Bois-des-Filion, v;1;;148;382;18;2;28;82;24;22;176;8
536;Blainville;2022-10-03;G;Bois-des-Filion, v;1;;149;381;23;0;27;58;26;29;163;3
