Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bernier Dany P.C.Q-E.E.D.;Charron Claude P.L.Q./Q.L.P.;Dion Olivier C.Q.;Généreux Mélissa Q.S.;Hébert Geneviève C.A.Q.-E.F.L.;McInerney Colleen P.C.Q./C.P.Q;Tanguay Sylvie P.Q.;B.V.;B.R.
110;Saint-François;2022-10-03;G;Sherbrooke, v;36;;102;377;33;4;0;37;46;0;16;136;0
110;Saint-François;2022-10-03;G;Sherbrooke, v;36;;103;383;35;11;0;42;33;0;13;134;5
110;Saint-François;2022-10-03;G;Sherbrooke, v;36;;104;393;27;5;2;47;72;0;21;174;2
110;Saint-François;2022-10-03;G;Sherbrooke, v;36;;105;388;24;12;3;53;82;0;28;202;1
110;Saint-François;2022-10-03;G;Sherbrooke, v;36;;106;392;31;4;3;54;61;0;17;170;4
110;Saint-François;2022-10-03;G;Sherbrooke, v;36;;107;381;33;6;0;37;69;0;27;172;1
110;Saint-François;2022-10-03;G;Sherbrooke, v;36;;108;398;11;5;1;78;59;1;23;178;13
110;Saint-François;2022-10-03;G;Sherbrooke, v;37;;109;374;23;7;0;65;78;3;20;196;1
110;Saint-François;2022-10-03;G;Sherbrooke, v;37;;110;375;18;9;1;58;49;0;22;157;2
110;Saint-François;2022-10-03;G;Sherbrooke, v;37;;111;367;22;4;1;34;66;0;16;143;3
110;Saint-François;2022-10-03;G;Sherbrooke, v;37;;112;375;12;8;1;51;54;1;15;142;3
110;Saint-François;2022-10-03;G;Sherbrooke, v;37;;113;372;12;12;0;54;63;1;28;170;0
110;Saint-François;2022-10-03;G;Sherbrooke, v;37;;114;369;18;5;0;69;68;2;23;185;2
110;Saint-François;2022-10-03;G;Sherbrooke, v;37;;115;368;27;3;0;62;54;1;14;161;2
110;Saint-François;2022-10-03;G;Sherbrooke, v;37;;116;375;19;10;4;51;48;0;15;147;1
110;Saint-François;2022-10-03;G;Sherbrooke, v;37;;117;367;13;10;3;49;38;0;5;118;1
110;Saint-François;2022-10-03;G;Sherbrooke, v;37;;118;383;14;7;3;51;59;0;19;153;3
110;Saint-François;2022-10-03;G;Sherbrooke, v;38;;119;405;15;7;2;43;45;0;10;122;1
110;Saint-François;2022-10-03;G;Sherbrooke, v;38;;120;399;17;20;1;37;59;0;14;148;2
110;Saint-François;2022-10-03;G;Sherbrooke, v;38;;121;396;15;8;5;45;43;0;13;129;0
110;Saint-François;2022-10-03;G;Sherbrooke, v;38;;122;394;22;6;1;47;62;0;14;152;3
110;Saint-François;2022-10-03;G;Sherbrooke, v;38;;123;407;16;3;1;58;60;0;24;162;3
110;Saint-François;2022-10-03;G;Sherbrooke, v;38;;124;383;24;11;3;76;35;2;21;172;4
110;Saint-François;2022-10-03;G;Sherbrooke, v;38;;125;395;25;6;0;47;43;0;7;128;3
110;Saint-François;2022-10-03;G;Sherbrooke, v;39;;126;398;19;7;2;55;37;1;12;133;5
110;Saint-François;2022-10-03;G;Sherbrooke, v;39;;127;356;13;4;1;36;67;0;9;130;1
110;Saint-François;2022-10-03;G;Sherbrooke, v;39;;128;369;30;4;2;48;55;2;22;163;4
110;Saint-François;2022-10-03;G;Sherbrooke, v;39;;129;391;20;9;1;40;59;4;14;147;2
110;Saint-François;2022-10-03;G;Sherbrooke, v;39;;130;375;10;10;0;50;46;1;22;139;1
110;Saint-François;2022-10-03;G;Sherbrooke, v;39;;131;371;13;10;0;57;56;1;11;148;1
110;Saint-François;2022-10-03;G;Sherbrooke, v;39;;132;361;11;8;1;60;73;0;17;170;1
