Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bouazzi Haroun Q.S.;Bouchardy Patrick C.Q.;Chéry Théodat Kassandre Ind;Di Stefano Andrea B.M.-E.B.H.;Fournelle Gilles P.V.Q./G.P.Q.;Jorg Chantal P.Q.;Marleau Jonathan P.L.Q./Q.L.P.;Murray Audrey C.A.Q.-E.F.L.;Sexton Louise P.C.Q-E.E.D.;B.V.;B.R.
340;Maurice-Richard;2022-10-03;G;Montréal, v;255;;84;376;56;3;0;0;2;18;34;34;25;172;1
340;Maurice-Richard;2022-10-03;G;Montréal, v;255;;85;378;61;0;0;0;2;21;47;41;5;177;0
340;Maurice-Richard;2022-10-03;G;Montréal, v;255;;86;379;51;3;0;1;1;18;33;37;15;159;3
340;Maurice-Richard;2022-10-03;G;Montréal, v;255;;87;382;47;0;1;0;1;20;49;35;12;165;1
340;Maurice-Richard;2022-10-03;G;Montréal, v;255;;88;385;95;0;2;0;0;16;33;26;3;175;3
340;Maurice-Richard;2022-10-03;G;Montréal, v;255;;89;367;59;1;0;0;2;21;24;38;4;149;0
340;Maurice-Richard;2022-10-03;G;Montréal, v;256;;90;372;65;0;1;0;1;24;18;30;12;151;4
340;Maurice-Richard;2022-10-03;G;Montréal, v;256;;91;373;62;1;1;1;3;27;36;44;7;182;2
340;Maurice-Richard;2022-10-03;G;Montréal, v;256;;92;376;61;2;0;2;1;24;22;42;6;160;5
340;Maurice-Richard;2022-10-03;G;Montréal, v;256;;93;370;57;0;2;2;5;26;40;40;5;177;1
340;Maurice-Richard;2022-10-03;G;Montréal, v;256;;94;381;56;0;1;3;1;26;67;31;9;194;1
340;Maurice-Richard;2022-10-03;G;Montréal, v;256;;95;365;56;2;2;3;3;15;41;59;15;196;5
340;Maurice-Richard;2022-10-03;G;Montréal, v;256;;96;375;53;0;1;2;4;14;51;35;14;174;2
340;Maurice-Richard;2022-10-03;G;Montréal, v;257;;97;409;62;0;3;5;3;12;56;39;16;196;1
340;Maurice-Richard;2022-10-03;G;Montréal, v;257;;98;405;61;1;1;5;1;8;80;31;19;207;9
340;Maurice-Richard;2022-10-03;G;Montréal, v;257;;99;409;41;0;1;8;2;3;78;23;27;183;4
340;Maurice-Richard;2022-10-03;G;Montréal, v;257;;100;411;41;2;1;1;2;9;49;25;17;147;12
340;Maurice-Richard;2022-10-03;G;Montréal, v;257;;101;400;38;0;2;1;2;22;47;34;8;154;2
340;Maurice-Richard;2022-10-03;G;Montréal, v;258;;102;390;52;0;4;0;5;17;42;30;6;156;4
340;Maurice-Richard;2022-10-03;G;Montréal, v;258;;103;392;52;0;0;1;2;21;42;31;9;158;2
340;Maurice-Richard;2022-10-03;G;Montréal, v;258;;104;413;53;0;4;2;4;11;61;27;4;166;2
340;Maurice-Richard;2022-10-03;G;Montréal, v;258;;105;385;46;1;0;0;0;8;30;33;8;126;3
340;Maurice-Richard;2022-10-03;G;Montréal, v;258;;106;406;56;1;0;1;0;16;40;36;11;161;3
340;Maurice-Richard;2022-10-03;G;Montréal, v;259;;107;385;46;0;1;0;3;20;41;22;9;142;4
340;Maurice-Richard;2022-10-03;G;Montréal, v;259;;108;392;47;0;1;0;0;23;22;40;12;145;0
340;Maurice-Richard;2022-10-03;G;Montréal, v;259;;109;394;43;0;0;1;3;37;32;45;9;170;4
340;Maurice-Richard;2022-10-03;G;Montréal, v;259;;110;398;43;0;0;4;4;19;39;41;10;160;2
340;Maurice-Richard;2022-10-03;G;Montréal, v;259;;111;391;38;0;1;0;2;13;52;27;8;141;2
340;Maurice-Richard;2022-10-03;G;Montréal, v;259;;112;400;32;0;1;0;3;10;34;27;8;115;3
340;Maurice-Richard;2022-10-03;G;Montréal, v;259;;113;315;28;0;1;1;1;28;24;47;10;140;1
340;Maurice-Richard;2022-10-03;G;Montréal, v;260;;114;324;17;0;0;0;0;22;33;57;7;136;1
340;Maurice-Richard;2022-10-03;G;Montréal, v;260;;115;290;31;0;3;1;1;15;34;33;6;124;1
340;Maurice-Richard;2022-10-03;G;Montréal, v;260;;116;278;34;0;0;1;1;12;28;31;5;112;0
340;Maurice-Richard;2022-10-03;G;Montréal, v;260;;117;283;25;0;0;4;0;8;43;17;15;112;2
340;Maurice-Richard;2022-10-03;G;Montréal, v;260;;118;285;33;0;0;0;1;10;38;39;5;126;2
340;Maurice-Richard;2022-10-03;G;Montréal, v;246;Regr. BVO-23;500;266;0;0;0;0;0;0;0;0;0;0;0
340;Maurice-Richard;2022-10-03;G;Montréal, v;246;Regr. BVO-23;501;226;0;0;0;0;0;0;0;0;0;0;0
