Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bachand André C.A.Q.-E.F.L.;Bélair Marylaine P.C.Q-E.E.D.;Caron Jacinthe P.Q.;de Martin Raymond Ind;Louis-Jean Mona P.L.Q./Q.L.P.;Magnan Richard D.D.;Pagé Philippe Q.S.;B.V.;B.R.
132;Richmond;2022-10-03;G;Sherbrooke, v;46;;139;398;58;24;25;0;3;0;51;161;2
132;Richmond;2022-10-03;G;Sherbrooke, v;46;;140;401;53;15;22;0;7;0;70;167;2
132;Richmond;2022-10-03;G;Sherbrooke, v;46;;141;404;74;26;20;2;9;1;46;178;1
132;Richmond;2022-10-03;G;Sherbrooke, v;46;;142;338;64;17;25;0;7;0;50;163;3
132;Richmond;2022-10-03;G;Sherbrooke, v;46;;143;351;75;10;18;0;9;0;60;172;2
132;Richmond;2022-10-03;G;Sherbrooke, v;46;;144;331;71;15;29;0;12;0;48;175;3
132;Richmond;2022-10-03;G;Sherbrooke, v;46;;145;358;62;9;18;0;12;0;60;161;0
132;Richmond;2022-10-03;G;Sherbrooke, v;46;;146;340;75;15;15;0;14;1;45;165;0
132;Richmond;2022-10-03;G;Sherbrooke, v;47;;147;386;76;30;24;1;10;0;54;195;2
132;Richmond;2022-10-03;G;Sherbrooke, v;47;;148;389;91;13;21;0;10;1;63;199;4
132;Richmond;2022-10-03;G;Sherbrooke, v;47;;149;371;52;25;28;0;8;0;47;160;1
132;Richmond;2022-10-03;G;Saint-François-Xavier-de-Brompton, m;1;;150;363;90;36;29;2;8;1;43;209;2
132;Richmond;2022-10-03;G;Saint-François-Xavier-de-Brompton, m;1;;151;382;110;37;20;0;13;0;27;207;0
132;Richmond;2022-10-03;G;Saint-François-Xavier-de-Brompton, m;1;;152;364;63;45;34;0;6;0;37;185;9
132;Richmond;2022-10-03;G;Saint-François-Xavier-de-Brompton, m;1;;153;388;77;25;42;1;9;0;55;209;3
132;Richmond;2022-10-03;G;Saint-François-Xavier-de-Brompton, m;1;;154;393;88;43;34;1;3;0;29;198;6
132;Richmond;2022-10-03;G;Val-Joli, m;1;;155;348;56;28;25;0;9;1;29;148;2
132;Richmond;2022-10-03;G;Val-Joli, m;1;;156;312;43;35;17;0;0;0;24;119;1
132;Richmond;2022-10-03;G;Val-Joli, m;1;;157;323;66;26;17;0;5;1;18;133;2
132;Richmond;2022-10-03;G;Val-Joli, m;1;;158;324;64;36;23;0;8;0;20;151;1
132;Richmond;2022-10-03;G;Windsor, v;1;;159;381;79;25;35;0;9;1;26;175;4
132;Richmond;2022-10-03;G;Windsor, v;1;;160;400;73;35;21;2;9;2;34;176;4
132;Richmond;2022-10-03;G;Windsor, v;1;;161;391;75;21;32;0;5;1;31;165;3
132;Richmond;2022-10-03;G;Windsor, v;1;;162;400;75;31;19;1;2;1;48;177;4
132;Richmond;2022-10-03;G;Windsor, v;1;;163A;209;36;22;6;0;2;0;19;85;1
132;Richmond;2022-10-03;G;Windsor, v;1;;163B;222;35;15;17;0;3;1;17;88;3
132;Richmond;2022-10-03;G;Windsor, v;1;;164;398;54;27;13;1;1;1;35;132;5
132;Richmond;2022-10-03;G;Windsor, v;1;;165;383;54;23;25;0;3;2;32;139;1
132;Richmond;2022-10-03;G;Windsor, v;1;;166;403;75;47;26;1;7;2;42;200;1
132;Richmond;2022-10-03;G;Windsor, v;1;;167;393;62;32;31;0;6;0;26;157;3
132;Richmond;2022-10-03;G;Windsor, v;1;;168;387;57;38;26;0;8;1;34;164;1
132;Richmond;2022-10-03;G;Saints-Martyrs-Canadiens, p;2;Regr. BVO-48;169;4;0;0;0;0;0;0;0;0;0
132;Richmond;2022-10-03;G;Richmond, v;1;Regr. BVO-8;500;20;0;0;0;0;0;0;0;0;0
132;Richmond;2022-10-03;G;Cleveland, ct;1;Regr. BVO-13;501;157;0;0;0;0;0;0;0;0;0
132;Richmond;2022-10-03;G;Val-des-Sources, v;1;Regr. BVO-30;502;159;0;0;0;0;0;0;0;0;0
132;Richmond;2022-10-03;G;Val-des-Sources, v;1;Regr. BVO-36;503;22;0;0;0;0;0;0;0;0;0
132;Richmond;2022-10-03;G;Sherbrooke, v;42;Regr. BVO-119;504;351;0;0;0;0;0;0;0;0;0
