Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Adda Yastene P.Q.;Boivin Roy Karine C.A.Q.-E.F.L.;Deneault Genevieve P.C.Q-E.E.D.;Gagnon Chantal P.L.Q./Q.L.P.;Gélinas Claude C.Q.;LeRougetel Katy Ind;Pageau Laurence Q.S.;B.V.;B.R.
366;Anjou-Louis-Riel;2022-10-03;G;Montréal, v;367;;62;396;8;42;12;42;0;0;27;131;1
366;Anjou-Louis-Riel;2022-10-03;G;Montréal, v;368;;63;374;13;48;10;55;3;0;18;147;4
366;Anjou-Louis-Riel;2022-10-03;G;Montréal, v;368;;64;381;17;45;21;62;2;0;13;160;2
366;Anjou-Louis-Riel;2022-10-03;G;Montréal, v;368;;65;385;18;59;7;62;0;0;29;175;1
366;Anjou-Louis-Riel;2022-10-03;G;Montréal, v;368;;66;364;11;39;21;51;1;0;11;134;1
366;Anjou-Louis-Riel;2022-10-03;G;Montréal, v;368;;67;396;8;59;11;42;1;0;17;138;3
366;Anjou-Louis-Riel;2022-10-03;G;Montréal, v;368;;68;376;13;54;10;59;0;0;31;167;0
366;Anjou-Louis-Riel;2022-10-03;G;Montréal, v;368;;69;358;17;42;17;65;2;0;19;162;0
366;Anjou-Louis-Riel;2022-10-03;G;Montréal, v;368;;70;361;13;58;11;51;3;0;13;149;0
366;Anjou-Louis-Riel;2022-10-03;G;Montréal, v;369;;71;382;10;37;12;96;1;0;19;175;1
366;Anjou-Louis-Riel;2022-10-03;G;Montréal, v;369;;72;394;18;19;13;55;1;0;37;143;1
366;Anjou-Louis-Riel;2022-10-03;G;Montréal, v;369;;73;397;11;43;3;55;2;0;16;130;5
366;Anjou-Louis-Riel;2022-10-03;G;Montréal, v;369;;74;388;6;41;18;62;1;0;20;148;3
366;Anjou-Louis-Riel;2022-10-03;G;Montréal, v;369;;75;383;12;30;13;58;3;0;27;143;1
