Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Benzekri Othmane P.V.Q./G.P.Q.;Briand Gérard Q.S.;Dugal Karl P.Q.;Fossey Myrtis-Eirene P.C.Q./C.P.Q;Gauthier Mélanie C.A.Q.-E.F.L.;Rajput Rizwan Muhammad B.M.-E.B.H.;Rizqy Marwah P.L.Q./Q.L.P.;St-Clair Catherine P.C.Q-E.E.D.;B.V.;B.R.
318;Saint-Laurent;2022-10-03;G;Montréal, v;37;;127;364;4;3;0;1;6;4;75;38;131;3
318;Saint-Laurent;2022-10-03;G;Montréal, v;37;;128;363;3;7;3;2;30;1;82;22;150;1
318;Saint-Laurent;2022-10-03;G;Montréal, v;37;;129;364;2;2;3;8;11;2;103;50;181;2
318;Saint-Laurent;2022-10-03;G;Montréal, v;37;;130;348;2;9;3;2;10;0;86;47;159;2
318;Saint-Laurent;2022-10-03;G;Montréal, v;37;;131;366;0;6;0;10;14;1;76;67;174;1
318;Saint-Laurent;2022-10-03;G;Montréal, v;37;;132;366;1;9;4;6;13;0;58;49;140;0
318;Saint-Laurent;2022-10-03;G;Montréal, v;38;;133;369;5;4;2;7;19;2;68;24;131;5
318;Saint-Laurent;2022-10-03;G;Montréal, v;38;;134;321;1;5;1;1;12;2;51;19;92;1
318;Saint-Laurent;2022-10-03;G;Montréal, v;38;;135;373;1;11;1;3;23;2;38;29;108;0
318;Saint-Laurent;2022-10-03;G;Montréal, v;38;;136;373;1;7;2;1;11;1;77;12;112;3
318;Saint-Laurent;2022-10-03;G;Montréal, v;38;;137;353;1;13;2;5;15;6;83;24;149;0
318;Saint-Laurent;2022-10-03;G;Montréal, v;39;;138;359;5;4;1;3;17;4;71;25;130;0
318;Saint-Laurent;2022-10-03;G;Montréal, v;39;;139;377;3;19;9;3;16;0;83;25;158;4
318;Saint-Laurent;2022-10-03;G;Montréal, v;39;;140;406;1;13;2;4;19;3;79;32;153;2
318;Saint-Laurent;2022-10-03;G;Montréal, v;39;;141;392;4;17;13;6;29;4;81;35;189;1
318;Saint-Laurent;2022-10-03;G;Montréal, v;39;;142;366;4;17;7;0;21;5;87;20;161;3
318;Saint-Laurent;2022-10-03;G;Montréal, v;39;;143;404;6;32;27;4;22;2;66;15;174;2
318;Saint-Laurent;2022-10-03;G;Montréal, v;40;;144;370;4;37;3;3;26;82;4;19;178;4
318;Saint-Laurent;2022-10-03;G;Montréal, v;40;;145;380;4;28;9;1;19;2;72;24;159;2
