Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Duranceau France-Élaine C.A.Q.-E.F.L.;Fortin Samuel C.Q.;Francoeur Julie Q.S.;Freire Guillaume P.Q.;Meloni Philippe P.C.Q-E.E.D.;Nadeau André P.L.Q./Q.L.P.;Ouellette Marie-Eve P.H.Q.;Steinberger Karine P.V.Q./G.P.Q.;B.V.;B.R.
588;Bertrand;2022-10-03;G;Sainte-Agathe-des-Monts, v;1;;74;375;60;0;27;28;15;5;1;1;137;2
588;Bertrand;2022-10-03;G;Sainte-Agathe-des-Monts, v;1;;75;375;63;0;12;22;10;7;2;1;117;2
588;Bertrand;2022-10-03;G;Sainte-Agathe-des-Monts, v;1;;76;369;48;0;14;21;16;5;1;1;106;0
588;Bertrand;2022-10-03;G;Sainte-Agathe-des-Monts, v;1;;77;398;38;0;18;23;14;4;1;3;101;7
588;Bertrand;2022-10-03;G;Sainte-Agathe-des-Monts, v;1;;78;403;55;0;19;29;5;9;0;0;117;3
588;Bertrand;2022-10-03;G;Sainte-Agathe-des-Monts, v;2;;79;395;56;0;28;24;23;12;0;1;144;0
588;Bertrand;2022-10-03;G;Sainte-Agathe-des-Monts, v;2;;80;389;44;1;23;30;14;9;0;5;126;3
588;Bertrand;2022-10-03;G;Sainte-Agathe-des-Monts, v;2;;81;410;55;0;30;26;13;8;0;3;135;1
588;Bertrand;2022-10-03;G;Sainte-Agathe-des-Monts, v;2;;82;396;53;0;17;26;13;8;0;1;118;6
588;Bertrand;2022-10-03;G;Sainte-Agathe-des-Monts, v;2;;83;392;39;0;19;22;17;11;0;1;109;0
588;Bertrand;2022-10-03;G;Sainte-Agathe-des-Monts, v;2;;84;395;30;1;30;25;8;7;3;3;107;0
588;Bertrand;2022-10-03;G;Sainte-Agathe-des-Monts, v;2;;85;389;41;0;20;26;13;2;0;1;103;0
588;Bertrand;2022-10-03;G;Sainte-Agathe-des-Monts, v;3;;86;398;22;0;17;30;10;2;1;1;83;2
588;Bertrand;2022-10-03;G;Sainte-Agathe-des-Monts, v;3;;87;403;60;0;22;39;18;8;0;1;148;2
588;Bertrand;2022-10-03;G;Sainte-Agathe-des-Monts, v;3;;88;398;50;2;16;22;13;5;0;3;111;0
588;Bertrand;2022-10-03;G;Sainte-Agathe-des-Monts, v;3;;89;392;40;0;23;32;14;9;0;2;120;3
588;Bertrand;2022-10-03;G;Sainte-Agathe-des-Monts, v;3;;90;402;33;1;35;29;13;5;0;3;119;2
588;Bertrand;2022-10-03;G;Sainte-Agathe-des-Monts, v;3;;91;403;53;0;20;39;14;10;2;0;138;1
588;Bertrand;2022-10-03;G;Sainte-Agathe-des-Monts, v;3;;92;400;54;0;23;47;14;4;2;1;145;0
588;Bertrand;2022-10-03;G;Sainte-Agathe-des-Monts, v;3;;93;403;49;0;34;34;26;6;0;1;150;2
588;Bertrand;2022-10-03;G;Sainte-Agathe-des-Monts, v;3;;94;381;39;0;23;26;13;14;2;3;120;2
588;Bertrand;2022-10-03;G;Sainte-Agathe-des-Monts, v;3;;95;404;47;0;16;12;12;13;0;2;102;1
588;Bertrand;2022-10-03;G;Ivry-sur-le-Lac, m;1;;96;330;64;0;23;36;13;25;0;2;163;2
588;Bertrand;2022-10-03;G;Val-Morin, m;1;;97;412;71;1;39;30;16;12;2;4;175;1
588;Bertrand;2022-10-03;G;Val-Morin, m;1;;98;397;46;0;41;28;16;11;1;4;147;1
588;Bertrand;2022-10-03;G;Val-Morin, m;1;;99;402;57;0;38;36;19;14;2;6;172;3
588;Bertrand;2022-10-03;G;Val-Morin, m;1;;100;402;44;1;47;35;16;5;1;4;153;0
588;Bertrand;2022-10-03;G;Val-Morin, m;1;;101;413;44;1;43;42;23;5;1;1;160;1
588;Bertrand;2022-10-03;G;Val-Morin, m;1;;102;419;54;0;38;31;29;8;1;3;164;2
588;Bertrand;2022-10-03;G;Sainte-Adèle, v;1;;103;387;60;1;33;36;19;12;0;3;164;2
588;Bertrand;2022-10-03;G;Sainte-Adèle, v;1;;104;388;58;0;26;19;17;12;1;3;136;0
588;Bertrand;2022-10-03;G;Sainte-Adèle, v;1;;105;384;61;0;35;34;12;8;0;5;155;3
588;Bertrand;2022-10-03;G;Sainte-Adèle, v;1;;106;390;64;0;30;24;10;8;1;3;140;0
588;Bertrand;2022-10-03;G;Sainte-Adèle, v;1;;107;380;51;1;25;38;14;10;0;0;139;0
588;Bertrand;2022-10-03;G;Sainte-Adèle, v;1;;108;387;57;0;31;24;23;14;1;1;151;0
588;Bertrand;2022-10-03;G;Sainte-Adèle, v;1;;109;380;57;0;38;25;13;11;1;3;148;2
588;Bertrand;2022-10-03;G;Sainte-Adèle, v;2;;110;398;61;1;36;37;13;15;0;3;166;4
588;Bertrand;2022-10-03;G;Sainte-Adèle, v;2;;111;400;41;0;29;22;16;8;0;3;119;4
588;Bertrand;2022-10-03;G;Sainte-Adèle, v;2;;112;384;42;0;31;20;32;9;0;3;137;1
588;Bertrand;2022-10-03;G;Sainte-Adèle, v;2;;113;401;56;0;41;35;15;7;1;1;156;0
588;Bertrand;2022-10-03;G;Sainte-Adèle, v;2;;114;391;60;0;34;40;19;13;2;4;172;3
588;Bertrand;2022-10-03;G;Sainte-Adèle, v;2;;115;409;63;0;25;26;23;13;0;5;155;1
588;Bertrand;2022-10-03;G;Sainte-Adèle, v;2;;116;405;61;1;36;34;17;13;2;2;166;1
588;Bertrand;2022-10-03;G;Sainte-Adèle, v;2;;117;416;47;0;34;26;15;15;1;4;142;1
588;Bertrand;2022-10-03;G;Sainte-Adèle, v;3;;118;368;67;0;27;35;14;7;1;3;154;3
588;Bertrand;2022-10-03;G;Sainte-Adèle, v;3;;119;361;53;0;27;37;7;12;1;1;138;2
588;Bertrand;2022-10-03;G;Sainte-Adèle, v;3;;120;363;46;0;19;23;11;7;0;4;110;2
588;Bertrand;2022-10-03;G;Sainte-Adèle, v;3;;121;366;34;0;30;21;27;7;1;2;122;4
588;Bertrand;2022-10-03;G;Sainte-Adèle, v;3;;122;371;47;1;47;19;26;5;0;3;148;0
588;Bertrand;2022-10-03;G;Sainte-Adèle, v;3;;123;370;31;0;28;33;5;14;2;1;114;3
588;Bertrand;2022-10-03;G;Sainte-Adèle, v;3;;124;362;61;0;25;33;21;8;0;0;148;0
588;Bertrand;2022-10-03;G;Sainte-Adèle, v;4;;125;397;42;0;28;23;21;11;0;1;126;1
588;Bertrand;2022-10-03;G;Sainte-Adèle, v;4;;126;384;54;2;21;31;12;9;0;2;131;0
588;Bertrand;2022-10-03;G;Sainte-Adèle, v;4;;127;401;65;1;41;43;13;10;0;2;175;4
588;Bertrand;2022-10-03;G;Sainte-Adèle, v;4;;128;398;57;1;23;40;32;14;0;2;169;3
588;Bertrand;2022-10-03;G;Sainte-Adèle, v;4;;129;386;61;0;45;34;16;10;0;4;170;2
588;Bertrand;2022-10-03;G;Sainte-Adèle, v;4;;130;401;60;0;41;38;15;1;0;2;157;3
