Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bustamante Marcella P.V.Q./G.P.Q.;Chassin Youri C.A.Q.-E.F.L.;Clermont Maxime P.C.Q-E.E.D.;Michon Sandrine P.Q.;Neveu Marc-Olivier Q.S.;Plante Martin P.L.Q./Q.L.P.;B.V.;B.R.
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;13;;87;370;0;49;30;20;33;5;137;4
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;13;;88;361;1;50;28;23;36;8;146;1
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;13;;89;375;2;52;15;33;21;18;141;2
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;13;;90;384;2;35;26;19;25;9;116;1
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;13;;91;354;4;57;17;27;17;5;127;1
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;14;;92;372;4;59;19;24;12;4;122;4
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;14;;93;360;3;40;13;16;29;13;114;2
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;14;;94;386;3;63;21;32;32;12;163;3
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;14;;95;382;3;73;16;30;28;22;172;0
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;14;;96;394;0;60;19;25;14;5;123;2
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;14;;97;383;2;68;14;33;31;10;158;0
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;14;;98;396;1;55;25;26;41;13;161;2
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;14;;99;379;3;62;7;38;16;2;128;3
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;14;;100;359;3;53;33;28;23;2;142;2
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;15;;101;349;1;67;15;17;20;2;122;4
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;15;;102;345;1;47;10;17;15;2;92;2
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;15;;103;369;0;48;12;28;26;9;123;2
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;16;;104;385;2;47;26;13;23;7;118;2
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;16;;105;400;0;50;16;25;20;2;113;2
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;16;;106;398;3;44;14;28;15;2;106;2
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;16;;107;415;3;42;21;24;23;9;122;3
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;16;;108;394;2;29;19;19;21;1;91;3
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;16;;109;379;6;32;18;20;25;5;106;0
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;16;;110A;225;2;42;16;11;13;3;87;1
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;16;;110B;230;2;27;4;11;4;5;53;1
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;16;;111;391;2;47;16;20;21;9;115;4
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;17;;112;414;2;33;15;14;24;3;91;1
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;17;;113;413;0;31;21;22;24;4;102;1
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;17;;114;398;3;53;16;30;24;5;131;0
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;17;;115;404;1;65;23;35;35;5;164;0
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;18;;116;376;4;60;9;35;34;8;150;2
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;18;;117;366;3;49;18;34;25;4;133;0
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;18;;118;375;4;41;14;28;39;14;140;1
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;18;;119;403;1;85;4;40;47;28;205;2
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;18;;120;410;1;61;18;43;24;10;157;1
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;19;;121;359;1;36;23;20;38;4;122;1
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;19;;122;370;3;30;18;29;37;8;125;5
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;19;;123;359;4;52;15;25;25;6;127;3
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;19;;124;367;1;57;21;16;23;5;123;5
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;19;;125;358;2;42;20;13;17;2;96;4
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;19;;126;358;2;61;17;34;24;3;141;0
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;19;;127;357;2;56;14;42;36;5;155;1
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;19;;128;370;1;49;16;40;27;2;135;0
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;19;;129;382;2;41;8;28;19;3;101;2
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;19;;130;357;3;50;10;28;16;10;117;1
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;20;;131;370;1;60;19;28;54;8;170;5
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;20;;132;385;1;76;24;37;25;20;183;2
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;20;;133;392;3;93;24;41;32;9;202;5
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;20;;134;386;3;90;28;44;22;6;193;0
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;20;;135;400;4;70;14;36;41;7;172;2
