Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Dumas Philippe P.Q.;Jacques Marie-Josée P.L.Q./Q.L.P.;Lyonnais Mario P.C.Q-E.E.D.;Martel Donald C.A.Q.-E.F.L.;Thériault Watso Jacques Q.S.;B.V.;B.R.
150;Nicolet-Bécancour;2022-10-03;G;Saint-Célestin, vl;1;;62;342;37;6;25;106;10;184;4
150;Nicolet-Bécancour;2022-10-03;G;Grand-Saint-Esprit, m;1;;63;376;35;10;56;87;19;207;9
150;Nicolet-Bécancour;2022-10-03;G;Saint-Léonard-d'Aston, m;1;;64;410;34;11;55;101;21;222;7
150;Nicolet-Bécancour;2022-10-03;G;Saint-Léonard-d'Aston, m;1;;65;409;47;10;48;102;25;232;9
150;Nicolet-Bécancour;2022-10-03;G;Saint-Léonard-d'Aston, m;1;;66;396;43;13;37;88;17;198;3
150;Nicolet-Bécancour;2022-10-03;G;Saint-Léonard-d'Aston, m;1;;67;399;55;11;42;97;22;227;7
150;Nicolet-Bécancour;2022-10-03;G;Saint-Léonard-d'Aston, m;1;;68;379;42;14;52;68;22;198;4
150;Nicolet-Bécancour;2022-10-03;G;Sainte-Perpétue, p;1;;69;383;39;13;68;107;22;249;6
150;Nicolet-Bécancour;2022-10-03;G;Sainte-Perpétue, p;1;;70;378;43;14;55;124;13;249;8
150;Nicolet-Bécancour;2022-10-03;G;Sainte-Brigitte-des-Saults, p;1;;71;309;52;6;47;86;14;205;3
150;Nicolet-Bécancour;2022-10-03;G;Sainte-Brigitte-des-Saults, p;1;;72;294;28;12;30;104;11;185;3
150;Nicolet-Bécancour;2022-10-03;G;Saint-Zéphirin-de-Courval, p;1;;73;278;35;5;51;72;22;185;5
150;Nicolet-Bécancour;2022-10-03;G;Saint-Zéphirin-de-Courval, p;1;;74;279;34;9;49;84;14;190;4
150;Nicolet-Bécancour;2022-10-03;G;La Visitation-de-Yamaska, m;1;;75;261;37;9;36;73;15;170;1
150;Nicolet-Bécancour;2022-10-03;G;Sainte-Monique, m;1;;76;396;42;18;60;87;21;228;3
150;Nicolet-Bécancour;2022-10-03;G;Nicolet, v;1;;77;384;44;8;42;62;18;174;3
150;Nicolet-Bécancour;2022-10-03;G;Nicolet, v;1;;78;391;40;10;28;55;15;148;3
150;Nicolet-Bécancour;2022-10-03;G;Nicolet, v;1;;79;348;26;8;20;30;20;104;1
150;Nicolet-Bécancour;2022-10-03;G;Nicolet, v;1;;80;368;15;10;23;46;16;110;2
150;Nicolet-Bécancour;2022-10-03;G;Nicolet, v;1;;81;382;15;7;24;43;11;100;2
150;Nicolet-Bécancour;2022-10-03;G;Nicolet, v;1;;82;349;33;10;29;58;10;140;2
150;Nicolet-Bécancour;2022-10-03;G;Nicolet, v;1;;83;371;36;17;19;48;14;134;2
150;Nicolet-Bécancour;2022-10-03;G;Nicolet, v;1;;84;361;29;3;23;55;10;120;2
150;Nicolet-Bécancour;2022-10-03;G;Nicolet, v;1;;85;351;25;2;31;74;13;145;4
150;Nicolet-Bécancour;2022-10-03;G;Nicolet, v;2;;86;397;27;9;40;68;17;161;4
150;Nicolet-Bécancour;2022-10-03;G;Nicolet, v;2;;87A;247;27;4;15;52;19;117;0
