Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bonnier Viger Yv Q.S.;Bouchard Pier-Luc P.C.Q-E.E.D.;Marin Michel P.L.Q./Q.L.P.;Perry Mélançon Méganne P.Q.;Sainte-Croix Stéphane C.A.Q.-E.F.L.;B.V.;B.R.
854;Gaspé;2022-10-03;G;Gaspé, v;7;;51;247;24;8;5;55;36;128;0
854;Gaspé;2022-10-03;G;Gaspé, v;8;;52;323;15;6;21;58;31;131;0
854;Gaspé;2022-10-03;G;Gaspé, v;8;;53;334;14;9;16;61;51;151;1
854;Gaspé;2022-10-03;G;Gaspé, v;8;;54;300;11;17;13;46;38;125;0
854;Gaspé;2022-10-03;G;Gaspé, v;8;;55;310;12;4;10;60;49;135;0
854;Gaspé;2022-10-03;G;Gaspé, v;9;;56;351;13;11;18;48;47;137;0
854;Gaspé;2022-10-03;G;Gaspé, v;9;;57;351;18;5;5;41;38;107;1
854;Gaspé;2022-10-03;G;Gaspé, v;9;;58;352;13;8;3;57;30;111;6
854;Gaspé;2022-10-03;G;Gaspé, v;9;;59;347;18;9;5;48;29;109;0
854;Gaspé;2022-10-03;G;Gaspé, v;9;;60;361;19;7;3;67;46;142;0
854;Gaspé;2022-10-03;G;Gaspé, v;9;;61;353;17;1;2;73;40;133;1
854;Gaspé;2022-10-03;G;Gaspé, v;10;;62;369;15;7;7;55;64;148;2
854;Gaspé;2022-10-03;G;Gaspé, v;10;;63;389;16;3;12;97;45;173;1
854;Gaspé;2022-10-03;G;Gaspé, v;10;;64;397;25;5;24;70;53;177;1
854;Gaspé;2022-10-03;G;Gaspé, v;11;;65;389;12;15;57;51;29;164;3
854;Gaspé;2022-10-03;G;Gaspé, v;11;;66;395;9;11;5;68;35;128;4
854;Gaspé;2022-10-03;G;Gaspé, v;11;;67;389;7;11;4;76;51;149;2
854;Gaspé;2022-10-03;G;Gaspé, v;11;;68;387;10;9;8;31;47;105;2
854;Gaspé;2022-10-03;G;Gaspé, v;11;;69;389;19;8;16;83;44;170;1
854;Gaspé;2022-10-03;G;Gaspé, v;11;;70;402;19;8;10;106;45;188;0
