Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Beauchamp Stéphanie P.C.Q-E.E.D.;Cliche Karine Q.S.;Filiatrault Simon C.Q.;Fortin Kevin P51;Jubinville Lyne P.Q.;Kamning Nguendjong Pierrette P.V.Q./G.P.Q.;Skeete Christopher C.A.Q.-E.F.L.;Trottier Michel P.L.Q./Q.L.P.;B.V.;B.R.
470;Sainte-Rose;2022-10-03;G;Laval, v;98;;96;410;28;30;1;0;8;3;22;103;195;6
470;Sainte-Rose;2022-10-03;G;Laval, v;98;;97;408;30;37;0;1;16;2;25;109;220;1
470;Sainte-Rose;2022-10-03;G;Laval, v;98;;98;394;11;43;0;0;22;3;78;50;207;4
470;Sainte-Rose;2022-10-03;G;Laval, v;98;;99;382;24;33;1;1;7;5;32;80;183;3
470;Sainte-Rose;2022-10-03;G;Laval, v;99;;100;397;18;22;1;0;19;1;53;49;163;0
470;Sainte-Rose;2022-10-03;G;Laval, v;99;;101;375;21;23;3;0;22;2;40;47;158;4
470;Sainte-Rose;2022-10-03;G;Laval, v;99;;102;370;21;30;0;0;15;1;42;41;150;5
470;Sainte-Rose;2022-10-03;G;Laval, v;99;;103;400;17;35;0;0;22;1;53;42;170;0
470;Sainte-Rose;2022-10-03;G;Laval, v;99;;104;404;18;36;0;0;40;2;47;32;175;6
470;Sainte-Rose;2022-10-03;G;Laval, v;99;;105;391;7;44;1;1;41;1;59;42;196;1
470;Sainte-Rose;2022-10-03;G;Laval, v;99;;106;372;11;19;0;0;29;3;68;39;169;3
470;Sainte-Rose;2022-10-03;G;Laval, v;99;;107;376;12;29;0;0;27;0;63;37;168;1
470;Sainte-Rose;2022-10-03;G;Laval, v;100;;108;414;15;44;1;4;33;2;57;41;197;1
470;Sainte-Rose;2022-10-03;G;Laval, v;100;;109;400;11;29;1;0;29;2;53;30;155;2
470;Sainte-Rose;2022-10-03;G;Laval, v;100;;110;395;18;32;0;0;19;1;56;47;173;0
470;Sainte-Rose;2022-10-03;G;Laval, v;100;;111;407;12;27;1;0;33;0;56;56;185;0
470;Sainte-Rose;2022-10-03;G;Laval, v;100;;112;386;8;34;3;1;28;1;61;43;179;3
470;Sainte-Rose;2022-10-03;G;Laval, v;100;;113;400;18;32;1;1;27;1;59;34;173;4
470;Sainte-Rose;2022-10-03;G;Laval, v;101;;114A;247;7;20;0;0;15;4;34;28;108;1
470;Sainte-Rose;2022-10-03;G;Laval, v;101;;114B;256;18;20;0;1;6;2;24;45;116;3
470;Sainte-Rose;2022-10-03;G;Laval, v;101;;115;402;23;27;1;0;17;1;54;43;166;0
470;Sainte-Rose;2022-10-03;G;Laval, v;101;;116;383;20;24;0;0;19;2;39;79;183;2
470;Sainte-Rose;2022-10-03;G;Laval, v;101;;117;388;13;42;1;0;20;2;52;48;178;2
470;Sainte-Rose;2022-10-03;G;Laval, v;101;;118;399;18;18;0;0;14;2;68;67;187;1
470;Sainte-Rose;2022-10-03;G;Laval, v;101;;119;392;10;38;2;0;26;1;54;33;164;1
470;Sainte-Rose;2022-10-03;G;Laval, v;101;;120;387;14;31;0;0;27;1;74;49;196;3
470;Sainte-Rose;2022-10-03;G;Laval, v;101;;121;396;20;28;0;0;25;1;58;46;178;2
470;Sainte-Rose;2022-10-03;G;Laval, v;101;;122;405;11;24;1;0;20;0;65;40;161;5
470;Sainte-Rose;2022-10-03;G;Laval, v;102;;123;394;17;41;1;0;23;1;45;57;185;2
470;Sainte-Rose;2022-10-03;G;Laval, v;102;;124;408;16;37;1;0;21;1;41;76;193;1
470;Sainte-Rose;2022-10-03;G;Laval, v;102;;125;421;18;20;1;1;17;0;43;63;163;6
470;Sainte-Rose;2022-10-03;G;Laval, v;102;;126;393;11;33;0;0;8;1;73;50;176;0
470;Sainte-Rose;2022-10-03;G;Laval, v;102;;127;404;10;33;0;1;19;2;58;50;173;2
470;Sainte-Rose;2022-10-03;G;Laval, v;102;;128;407;18;28;0;0;25;1;70;38;180;2
470;Sainte-Rose;2022-10-03;G;Laval, v;102;;129;411;12;32;0;0;23;2;65;30;164;5
470;Sainte-Rose;2022-10-03;G;Laval, v;102;;130;397;15;20;0;0;23;0;50;20;128;11
470;Sainte-Rose;2022-10-03;G;Laval, v;102;;131;382;15;31;2;2;21;1;46;37;155;4
470;Sainte-Rose;2022-10-03;G;Laval, v;103;;132;372;11;45;1;0;40;4;51;22;174;4
470;Sainte-Rose;2022-10-03;G;Laval, v;103;;133;389;17;52;0;0;42;1;66;13;191;3
470;Sainte-Rose;2022-10-03;G;Laval, v;103;;134;371;15;26;0;0;18;0;44;41;144;2
470;Sainte-Rose;2022-10-03;G;Laval, v;103;;135;383;14;55;2;1;22;3;73;25;195;2
