Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Cayouette-Guilloteau Valérie Q.S.;Drainville Bernard C.A.Q.-E.F.L.;Garon Richard P.L.Q./Q.L.P.;Laflamme Karine P.C.Q-E.E.D.;Lahlou Mehdi P.V.Q./G.P.Q.;Morel Pierre-Gilles P.Q.;Voyer André C.Q.;B.V.;B.R.
818;Lévis;2022-10-03;G;Lévis, v;28;;103;367;21;77;5;33;0;20;2;158;0
818;Lévis;2022-10-03;G;Lévis, v;28;;104;382;19;88;5;47;3;21;0;183;0
818;Lévis;2022-10-03;G;Lévis, v;28;;105;375;17;77;4;38;1;25;0;162;5
818;Lévis;2022-10-03;G;Lévis, v;29;;106;373;23;69;2;52;0;13;1;160;4
818;Lévis;2022-10-03;G;Lévis, v;29;;107;389;17;107;7;49;0;15;1;196;3
818;Lévis;2022-10-03;G;Lévis, v;29;;108;401;17;64;18;61;0;26;0;186;7
818;Lévis;2022-10-03;G;Lévis, v;29;;109;379;19;59;13;30;2;13;0;136;3
818;Lévis;2022-10-03;G;Lévis, v;29;;110;395;9;82;16;26;2;28;1;164;0
818;Lévis;2022-10-03;G;Lévis, v;29;;111;380;16;70;9;31;0;26;0;152;2
818;Lévis;2022-10-03;G;Lévis, v;29;;112;288;13;60;3;16;0;7;1;100;1
818;Lévis;2022-10-03;G;Lévis, v;29;;113;368;10;69;3;27;0;11;1;121;2
818;Lévis;2022-10-03;G;Lévis, v;29;;114;362;22;51;7;29;1;12;2;124;6
818;Lévis;2022-10-03;G;Lévis, v;29;;115;343;25;43;6;34;1;11;1;121;3
818;Lévis;2022-10-03;G;Lévis, v;29;;116;381;11;61;2;36;1;13;0;124;4
818;Lévis;2022-10-03;G;Lévis, v;29;;117;373;18;60;5;39;0;17;0;139;9
818;Lévis;2022-10-03;G;Lévis, v;29;;118;391;17;57;7;20;2;19;0;122;3
818;Lévis;2022-10-03;G;Lévis, v;29;;119;392;13;63;12;19;1;24;0;132;0
818;Lévis;2022-10-03;G;Lévis, v;29;;120;373;12;48;7;39;0;19;0;125;5
818;Lévis;2022-10-03;G;Lévis, v;29;;121;376;20;98;15;44;1;26;0;204;2
818;Lévis;2022-10-03;G;Lévis, v;29;;122A;256;12;56;14;18;2;16;1;119;0
818;Lévis;2022-10-03;G;Lévis, v;29;;122B;218;7;49;5;17;0;10;1;89;0
818;Lévis;2022-10-03;G;Lévis, v;29;;123;379;19;73;7;42;1;20;0;162;2
