Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Andreeva Daniela P.C.Q-E.E.D.;Couture Geneviève P.Q.;Fitzgibbon Pierre C.A.Q.-E.F.L.;Jean Lindsay P.L.Q./Q.L.P.;Meloche Marie-France D.D.;Poirier Nadia Q.S.;Tarpinian Nazar P.V.Q./G.P.Q.;B.V.;B.R.
542;Terrebonne;2022-10-03;G;Terrebonne, v;12;;56;370;22;42;91;23;0;22;1;201;2
542;Terrebonne;2022-10-03;G;Terrebonne, v;12;;57;371;17;49;72;22;0;36;0;196;3
542;Terrebonne;2022-10-03;G;Terrebonne, v;13;;58;393;20;41;56;22;0;35;3;177;3
542;Terrebonne;2022-10-03;G;Terrebonne, v;13;;59;399;4;36;94;41;1;25;2;203;3
542;Terrebonne;2022-10-03;G;Terrebonne, v;13;;60;399;17;52;80;18;0;23;3;193;4
542;Terrebonne;2022-10-03;G;Terrebonne, v;13;;61;397;23;42;83;23;0;33;0;204;4
542;Terrebonne;2022-10-03;G;Terrebonne, v;13;;62;400;21;50;87;22;1;31;2;214;2
542;Terrebonne;2022-10-03;G;Terrebonne, v;13;;63;400;27;55;68;25;1;34;0;210;3
542;Terrebonne;2022-10-03;G;Terrebonne, v;13;;64;378;4;56;91;23;0;31;0;205;2
542;Terrebonne;2022-10-03;G;Terrebonne, v;13;;65;399;22;41;77;21;0;33;0;194;5
542;Terrebonne;2022-10-03;G;Terrebonne, v;13;;66;408;18;41;77;16;1;35;3;191;2
542;Terrebonne;2022-10-03;G;Terrebonne, v;14;;67;391;9;36;69;35;1;37;0;187;3
542;Terrebonne;2022-10-03;G;Terrebonne, v;14;;68;396;17;36;59;17;1;30;3;163;6
542;Terrebonne;2022-10-03;G;Terrebonne, v;14;;69;391;14;27;62;20;0;39;5;167;0
542;Terrebonne;2022-10-03;G;Terrebonne, v;14;;70;392;17;32;66;14;0;31;0;160;4
542;Terrebonne;2022-10-03;G;Terrebonne, v;14;;71;387;5;40;75;19;0;24;1;164;3
542;Terrebonne;2022-10-03;G;Terrebonne, v;14;;72;379;9;33;84;15;1;15;2;159;2
542;Terrebonne;2022-10-03;G;Terrebonne, v;14;;73;395;11;43;74;18;0;25;0;171;4
542;Terrebonne;2022-10-03;G;Terrebonne, v;15;;74;359;21;23;66;26;1;32;0;169;6
542;Terrebonne;2022-10-03;G;Terrebonne, v;15;;75;361;16;23;67;20;0;25;1;152;3
542;Terrebonne;2022-10-03;G;Terrebonne, v;15;;76;359;21;24;57;26;0;26;4;158;5
542;Terrebonne;2022-10-03;G;Terrebonne, v;15;;77;385;6;25;79;12;0;7;0;129;2
542;Terrebonne;2022-10-03;G;Terrebonne, v;15;;78A;211;10;19;30;10;0;10;0;79;1
542;Terrebonne;2022-10-03;G;Terrebonne, v;15;;78B;216;5;18;36;19;0;12;2;92;1
542;Terrebonne;2022-10-03;G;Terrebonne, v;15;;79;375;12;23;61;10;0;22;1;129;1
542;Terrebonne;2022-10-03;G;Terrebonne, v;15;;80;379;5;21;84;12;1;11;0;134;0
542;Terrebonne;2022-10-03;G;Terrebonne, v;15;;81;350;6;21;74;9;0;10;0;120;2
542;Terrebonne;2022-10-03;G;Terrebonne, v;16;;82;374;32;34;124;20;0;24;1;235;4
542;Terrebonne;2022-10-03;G;Terrebonne, v;16;;83;383;12;36;100;31;0;17;2;198;3
542;Terrebonne;2022-10-03;G;Terrebonne, v;16;;84;385;18;29;103;28;1;13;0;192;3
542;Terrebonne;2022-10-03;G;Terrebonne, v;16;;85;403;13;40;110;24;1;26;2;216;1
542;Terrebonne;2022-10-03;G;Terrebonne, v;16;;86;398;15;32;95;25;0;15;2;184;1
542;Terrebonne;2022-10-03;G;Terrebonne, v;16;;87;386;11;32;88;21;0;26;2;180;3
542;Terrebonne;2022-10-03;G;Terrebonne, v;17;;88;350;5;47;67;24;0;38;1;182;2
542;Terrebonne;2022-10-03;G;Terrebonne, v;17;;89;369;14;51;79;24;0;25;3;196;2
542;Terrebonne;2022-10-03;G;Terrebonne, v;17;;90;363;23;26;71;20;0;32;2;174;1
542;Terrebonne;2022-10-03;G;Terrebonne, v;17;;91;358;19;37;68;16;3;26;2;171;2
542;Terrebonne;2022-10-03;G;Terrebonne, v;17;;92;366;14;58;79;31;0;22;3;207;3
542;Terrebonne;2022-10-03;G;Terrebonne, v;17;;93;368;20;44;84;16;0;33;1;198;1
542;Terrebonne;2022-10-03;G;Terrebonne, v;17;;94;373;4;32;76;16;0;42;3;173;1
542;Terrebonne;2022-10-03;G;Terrebonne, v;18;;95;396;21;53;67;17;0;34;1;193;2
542;Terrebonne;2022-10-03;G;Terrebonne, v;18;;96;371;13;28;66;30;0;30;1;168;5
542;Terrebonne;2022-10-03;G;Terrebonne, v;18;;97;372;9;23;80;17;0;29;0;158;3
542;Terrebonne;2022-10-03;G;Terrebonne, v;18;;98;387;13;37;54;17;0;24;2;147;2
542;Terrebonne;2022-10-03;G;Terrebonne, v;18;;99;400;25;25;62;26;1;28;2;169;2
542;Terrebonne;2022-10-03;G;Terrebonne, v;18;;100;397;7;37;67;24;0;33;2;170;2
542;Terrebonne;2022-10-03;G;Terrebonne, v;18;;101;396;10;37;82;22;0;31;1;183;5
542;Terrebonne;2022-10-03;G;Terrebonne, v;19;;102;405;27;40;76;20;0;28;2;193;2
542;Terrebonne;2022-10-03;G;Terrebonne, v;19;;103;416;24;27;74;16;0;31;2;174;5
542;Terrebonne;2022-10-03;G;Terrebonne, v;19;;104;416;25;50;70;19;2;26;4;196;6
542;Terrebonne;2022-10-03;G;Terrebonne, v;19;;105;421;16;38;78;9;0;44;0;185;0
542;Terrebonne;2022-10-03;G;Terrebonne, v;19;;106;410;9;34;73;15;0;26;5;162;3
542;Terrebonne;2022-10-03;G;Terrebonne, v;19;;107;375;11;27;58;16;1;20;1;134;2
542;Terrebonne;2022-10-03;G;Terrebonne, v;19;;108;386;4;38;79;16;2;32;0;171;3
542;Terrebonne;2022-10-03;G;Terrebonne, v;19;;109;384;20;42;66;5;1;26;1;161;1
542;Terrebonne;2022-10-03;G;Terrebonne, v;19;;110;382;5;18;69;10;1;31;3;137;2
542;Terrebonne;2022-10-03;G;Terrebonne, v;25;;111;317;17;25;53;6;0;30;2;133;2
542;Terrebonne;2022-10-03;G;Terrebonne, v;25;;112;319;10;23;46;6;1;29;1;116;2
542;Terrebonne;2022-10-03;G;Terrebonne, v;25;;113;325;14;28;48;11;0;22;1;124;7
542;Terrebonne;2022-10-03;G;Terrebonne, v;25;;114;308;11;29;71;9;0;16;2;138;1
542;Terrebonne;2022-10-03;G;Terrebonne, v;25;;115;324;7;24;67;22;0;23;2;145;1
542;Terrebonne;2022-10-03;G;Terrebonne, v;26;;116;413;11;59;59;7;3;27;3;169;2
542;Terrebonne;2022-10-03;G;Terrebonne, v;26;;117;406;15;35;60;9;0;40;3;162;2
542;Terrebonne;2022-10-03;G;Terrebonne, v;26;;118A;205;12;14;20;4;0;20;1;71;0
542;Terrebonne;2022-10-03;G;Terrebonne, v;26;;118B;225;8;31;30;9;0;19;0;97;1
542;Terrebonne;2022-10-03;G;Terrebonne, v;26;;119;389;12;46;60;8;1;29;1;157;5
542;Terrebonne;2022-10-03;G;Terrebonne, v;26;;120;420;33;35;57;15;1;25;4;170;4
542;Terrebonne;2022-10-03;G;Terrebonne, v;26;;121;400;12;39;47;13;0;29;2;142;2
542;Terrebonne;2022-10-03;G;Terrebonne, v;27;;122;387;12;36;95;11;0;22;3;179;5
542;Terrebonne;2022-10-03;G;Terrebonne, v;27;;123;407;15;33;60;21;0;37;2;168;1
542;Terrebonne;2022-10-03;G;Terrebonne, v;27;;124;385;14;31;65;18;1;36;4;169;4
542;Terrebonne;2022-10-03;G;Terrebonne, v;27;;125;375;9;35;80;21;0;31;4;180;4
542;Terrebonne;2022-10-03;G;Terrebonne, v;27;;126;374;18;32;65;14;1;13;1;144;6
542;Terrebonne;2022-10-03;G;Terrebonne, v;27;;127;392;15;26;41;21;1;29;1;134;3
542;Terrebonne;2022-10-03;G;Terrebonne, v;27;;128;412;20;31;71;22;0;24;2;170;4
542;Terrebonne;2022-10-03;G;Terrebonne, v;28;;129;402;12;33;81;30;0;26;1;183;1
542;Terrebonne;2022-10-03;G;Terrebonne, v;28;;130;388;17;25;77;22;0;14;1;156;2
542;Terrebonne;2022-10-03;G;Terrebonne, v;28;;131;387;14;40;64;17;1;36;0;172;1
542;Terrebonne;2022-10-03;G;Terrebonne, v;28;;132;389;13;30;60;16;1;30;2;152;5
542;Terrebonne;2022-10-03;G;Terrebonne, v;28;;133;391;20;27;60;22;1;24;0;154;2
542;Terrebonne;2022-10-03;G;Terrebonne, v;28;;134;391;7;25;66;15;1;21;0;135;5
542;Terrebonne;2022-10-03;G;Terrebonne, v;29;;135;375;25;35;78;14;0;31;1;184;1
542;Terrebonne;2022-10-03;G;Terrebonne, v;29;;136;367;15;32;67;27;1;41;2;185;3
542;Terrebonne;2022-10-03;G;Terrebonne, v;29;;137;369;23;42;75;17;0;34;1;192;5
542;Terrebonne;2022-10-03;G;Terrebonne, v;29;;138;376;23;36;66;12;0;30;2;169;2
542;Terrebonne;2022-10-03;G;Terrebonne, v;29;;139;372;10;35;78;11;0;26;5;165;5
542;Terrebonne;2022-10-03;G;Terrebonne, v;29;;140;372;15;26;80;20;0;22;1;164;5
542;Terrebonne;2022-10-03;G;Terrebonne, v;29;;141;369;7;37;67;14;1;31;0;157;2
542;Terrebonne;2022-10-03;G;Terrebonne, v;29;;142;364;19;43;70;13;0;17;2;164;2
542;Terrebonne;2022-10-03;G;Terrebonne, v;30;;143;404;12;33;83;10;0;24;2;164;3
542;Terrebonne;2022-10-03;G;Terrebonne, v;30;;144;382;19;29;55;16;0;24;0;143;2
542;Terrebonne;2022-10-03;G;Terrebonne, v;30;;145;378;12;40;83;15;0;19;0;169;5
542;Terrebonne;2022-10-03;G;Terrebonne, v;30;;146;390;12;27;84;19;0;28;0;170;5
542;Terrebonne;2022-10-03;G;Terrebonne, v;31;;147;372;20;34;87;18;2;27;1;189;1
542;Terrebonne;2022-10-03;G;Terrebonne, v;31;;148;378;5;39;81;23;0;37;1;186;1
542;Terrebonne;2022-10-03;G;Terrebonne, v;31;;149;384;12;27;78;34;0;33;1;185;2
