Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Côté Normand P.L.Q./Q.L.P.;Gauthier Christian P.C.Q-E.E.D.;Gilbert Christine Q.S.;Lecours Isabelle C.A.Q.-E.F.L.;Marchand Louise P.Q.;B.V.;B.R.
810;Lotbinière-Frontenac;2022-10-03;G;Saint-Gilles, m;1;;97A;225;8;80;11;43;15;157;2
810;Lotbinière-Frontenac;2022-10-03;G;Saint-Gilles, m;1;;97B;232;10;52;6;68;9;145;2
810;Lotbinière-Frontenac;2022-10-03;G;Dosquet, m;1;;98;376;27;100;6;84;15;232;2
810;Lotbinière-Frontenac;2022-10-03;G;Dosquet, m;1;;99;388;19;75;15;75;14;198;2
810;Lotbinière-Frontenac;2022-10-03;G;Saint-Flavien, m;1;;100;399;38;61;14;55;13;181;3
810;Lotbinière-Frontenac;2022-10-03;G;Saint-Flavien, m;1;;101;405;28;77;16;44;12;177;2
810;Lotbinière-Frontenac;2022-10-03;G;Saint-Flavien, m;1;;102;410;19;83;17;82;15;216;3
810;Lotbinière-Frontenac;2022-10-03;G;Saint-Agapit, m;1;;103;380;27;79;23;58;15;202;2
810;Lotbinière-Frontenac;2022-10-03;G;Saint-Agapit, m;1;;104;365;12;105;8;66;17;208;0
810;Lotbinière-Frontenac;2022-10-03;G;Saint-Agapit, m;1;;105;426;16;98;22;79;23;238;0
810;Lotbinière-Frontenac;2022-10-03;G;Saint-Agapit, m;1;;106;380;6;52;19;96;16;189;0
810;Lotbinière-Frontenac;2022-10-03;G;Saint-Agapit, m;1;;107;343;13;47;17;52;15;144;3
810;Lotbinière-Frontenac;2022-10-03;G;Saint-Agapit, m;1;;108;369;11;70;21;106;18;226;1
810;Lotbinière-Frontenac;2022-10-03;G;Saint-Agapit, m;1;;109;379;13;66;21;106;19;225;4
810;Lotbinière-Frontenac;2022-10-03;G;Saint-Agapit, m;1;;110;372;13;81;11;56;12;173;1
