Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Charles Eribert P.L.Q./Q.L.P.;Gauthier Stephen D.D.;Jolin-Barrette Simon C.A.Q.-E.F.L.;Landry Benoît Q.S.;Laprise Paule P.Q.;Racicot Jean-Félix P.C.Q-E.E.D.;Thibault-Vincent Thomas P.V.Q./G.P.Q.;Thibodeau Marcel C.Q.;B.V.;B.R.
258;Borduas;2022-10-03;G;Mont-Saint-Hilaire, v;3;;110;393;21;0;85;40;35;11;2;0;194;1
258;Borduas;2022-10-03;G;Mont-Saint-Hilaire, v;3;;111;395;21;0;80;37;35;16;5;0;194;2
258;Borduas;2022-10-03;G;Mont-Saint-Hilaire, v;3;;112;395;15;0;79;49;46;12;7;0;208;5
258;Borduas;2022-10-03;G;Mont-Saint-Hilaire, v;3;;113;381;13;1;72;31;53;12;0;0;182;1
258;Borduas;2022-10-03;G;Mont-Saint-Hilaire, v;3;;114;387;13;0;76;39;52;14;6;1;201;1
258;Borduas;2022-10-03;G;Mont-Saint-Hilaire, v;3;;115;393;16;0;74;27;49;18;3;1;188;4
258;Borduas;2022-10-03;G;Saint-Jean-Baptiste, m;1;;116;408;7;0;121;24;40;17;3;1;213;9
258;Borduas;2022-10-03;G;Saint-Jean-Baptiste, m;1;;117;416;2;1;122;27;37;46;4;0;239;2
258;Borduas;2022-10-03;G;Saint-Jean-Baptiste, m;1;;118;404;10;0;145;35;41;36;2;2;271;6
258;Borduas;2022-10-03;G;Saint-Jean-Baptiste, m;1;;119;402;8;0;149;32;36;31;3;0;259;3
258;Borduas;2022-10-03;G;Saint-Jean-Baptiste, m;1;;120;410;1;0;120;42;45;30;1;0;239;4
258;Borduas;2022-10-03;G;Saint-Jean-Baptiste, m;1;;121;421;9;0;138;36;38;23;0;0;244;3
258;Borduas;2022-10-03;G;Sainte-Marie-Madeleine, p;1;;122;376;4;0;128;23;22;33;3;0;213;1
258;Borduas;2022-10-03;G;Sainte-Marie-Madeleine, p;1;;123;375;10;1;132;22;49;19;3;1;237;3
258;Borduas;2022-10-03;G;Sainte-Marie-Madeleine, p;1;;124;375;6;1;95;20;42;24;2;0;190;4
258;Borduas;2022-10-03;G;Sainte-Marie-Madeleine, p;1;;125;377;7;1;96;23;37;30;1;1;196;4
258;Borduas;2022-10-03;G;Sainte-Marie-Madeleine, p;1;;126;364;6;1;97;21;45;16;2;1;189;4
258;Borduas;2022-10-03;G;Sainte-Marie-Madeleine, p;1;;127;376;7;2;93;33;29;24;2;2;192;2
258;Borduas;2022-10-03;G;Sainte-Madeleine, vl;1;;128;346;7;0;110;21;37;24;3;1;203;6
258;Borduas;2022-10-03;G;Sainte-Madeleine, vl;1;;129;345;7;0;119;34;34;30;4;0;228;2
258;Borduas;2022-10-03;G;Sainte-Madeleine, vl;1;;130;337;14;0;80;30;33;30;5;0;192;3
258;Borduas;2022-10-03;G;Sainte-Madeleine, vl;1;;131;334;7;1;105;15;28;26;2;2;186;3
258;Borduas;2022-10-03;G;Sainte-Madeleine, vl;1;;132;344;3;1;127;25;31;18;1;0;206;7
258;Borduas;2022-10-03;G;Saint-Charles-sur-Richelieu, m;1;;133;360;6;0;116;26;38;12;1;0;199;6
258;Borduas;2022-10-03;G;Saint-Charles-sur-Richelieu, m;1;;134;375;4;0;128;30;55;19;0;0;236;3
258;Borduas;2022-10-03;G;Saint-Charles-sur-Richelieu, m;1;;135;395;4;0;124;29;60;20;2;0;239;7
258;Borduas;2022-10-03;G;Saint-Charles-sur-Richelieu, m;1;;136;374;5;0;124;19;45;9;1;0;203;4
258;Borduas;2022-10-03;G;Saint-Marc-sur-Richelieu, m;1;;137;338;7;0;100;16;31;25;1;0;180;2
258;Borduas;2022-10-03;G;Saint-Marc-sur-Richelieu, m;1;;138;345;10;0;110;31;33;19;1;0;204;4
258;Borduas;2022-10-03;G;Saint-Marc-sur-Richelieu, m;1;;139;352;0;0;138;27;50;19;2;0;236;1
258;Borduas;2022-10-03;G;Saint-Marc-sur-Richelieu, m;1;;140;349;15;0;102;33;57;13;1;1;222;0
258;Borduas;2022-10-03;G;Saint-Marc-sur-Richelieu, m;1;;141;361;10;0;116;22;48;20;2;1;219;3
258;Borduas;2022-10-03;G;Saint-Antoine-sur-Richelieu, m;1;;142;352;5;0;116;22;58;16;3;0;220;3
258;Borduas;2022-10-03;G;Saint-Antoine-sur-Richelieu, m;1;;143;333;5;1;99;36;52;13;3;1;210;3
258;Borduas;2022-10-03;G;Saint-Antoine-sur-Richelieu, m;1;;144;350;6;0;99;40;55;30;2;1;233;4
258;Borduas;2022-10-03;G;Saint-Antoine-sur-Richelieu, m;1;;145;352;4;0;103;25;63;23;4;1;223;3
258;Borduas;2022-10-03;G;Saint-Denis-sur-Richelieu, m;1;;146;386;11;0;106;24;46;34;0;1;222;1
