Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Boulet Jean C.A.Q.-E.F.L.;Pépin Karine P.C.Q-E.E.D.;Roy Cullen Steven Q.S.;Samman Georges U.F.F.;Tekougoum Adams P.L.Q./Q.L.P.;Trottier Éric C.Q.;Vézina Laurent P.Q.;B.V.;B.R.
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;12;;60;348;60;24;46;0;8;1;22;161;4
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;12;;61;378;52;8;27;2;3;1;18;111;1
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;12;;62;370;39;12;34;0;6;1;34;126;2
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;12;;63A;212;35;8;7;0;5;0;13;68;4
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;12;;63B;254;51;9;15;1;7;1;9;93;2
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;13;;64;362;56;16;47;1;9;1;38;168;2
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;13;;65;372;45;19;32;3;6;0;15;120;1
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;13;;66;339;42;14;35;0;7;0;12;110;0
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;13;;67;353;57;25;38;0;6;1;19;146;6
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;13;;68;347;50;20;23;0;4;1;16;114;4
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;13;;69;351;72;17;23;1;7;0;25;145;2
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;13;;70;367;74;14;46;0;12;1;26;173;2
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;14;;71;340;48;22;41;0;4;1;29;145;2
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;14;;72;329;43;13;64;0;7;0;26;153;1
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;14;;73;358;40;16;54;0;3;1;26;140;1
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;14;;74;348;42;18;26;0;1;0;25;112;7
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;14;;75;357;48;21;49;2;9;0;28;157;3
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;15;;76;379;58;25;34;0;12;0;23;152;0
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;15;;77;361;47;27;37;0;10;1;27;149;6
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;15;;78;382;43;12;37;2;3;0;22;119;1
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;15;;79;369;27;18;49;1;6;2;11;114;3
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;15;;80;377;43;18;43;2;5;2;16;129;7
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;15;;81;344;41;13;51;1;9;2;17;134;4
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;15;;82;357;43;11;20;0;8;1;19;102;0
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;16;;83;375;73;10;51;0;2;0;36;172;1
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;16;;84;386;70;14;47;0;16;0;36;183;4
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;16;;85;417;100;22;35;0;12;3;39;211;0
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;16;;86;370;72;18;29;1;11;1;24;156;2
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;16;;87;405;50;23;49;0;10;0;26;158;2
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;17;;88;356;49;24;42;3;7;1;24;150;3
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;17;;89;364;66;22;42;0;7;2;17;156;6
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;17;;90;360;59;28;27;0;19;0;24;157;6
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;17;;91;356;90;17;25;0;15;0;39;186;0
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;17;;92;356;63;19;21;0;11;2;31;147;2
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;17;;93;353;67;14;31;0;7;1;17;137;3
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;18;;94;358;75;20;21;4;14;0;24;158;2
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;18;;95;392;67;23;19;1;7;1;20;138;1
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;18;;96;382;83;19;20;0;16;1;12;151;9
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;18;;97;401;41;25;23;2;5;1;7;104;8
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;18;;98;395;67;9;11;2;7;1;11;108;1
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;19;;99;387;54;19;37;1;11;4;22;148;1
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;19;;100;402;56;18;27;0;19;1;26;147;4
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;19;;101;376;30;15;29;0;5;0;17;96;0
