Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Allaire Simon C.A.Q.-E.F.L.;Bélanger Alain Ind;Boisvert Françoise U.F.F.;Brodeur Gilles P51;Gélinas Dominique P.Q.;Malenfant-Veilleux Alexandra P.L.Q./Q.L.P.;Noël Serge P.C.Q-E.E.D.;Piotte Simon Q.S.;Simon Daniel P.V.Q./G.P.Q.;B.V.;B.R.
666;Maskinongé;2022-10-03;G;Trois-Rivières, v;1;;81;379;73;1;2;0;19;9;48;22;0;174;3
666;Maskinongé;2022-10-03;G;Trois-Rivières, v;1;;82;400;54;0;0;0;39;4;30;18;0;145;6
666;Maskinongé;2022-10-03;G;Trois-Rivières, v;1;;83;392;87;0;0;1;31;6;38;26;0;189;5
666;Maskinongé;2022-10-03;G;Trois-Rivières, v;1;;84;429;81;0;1;0;29;10;25;22;1;169;0
666;Maskinongé;2022-10-03;G;Trois-Rivières, v;1;;85;385;56;0;0;1;23;9;27;24;2;142;2
666;Maskinongé;2022-10-03;G;Trois-Rivières, v;1;;86;387;72;0;1;2;19;10;14;8;2;128;7
666;Maskinongé;2022-10-03;G;Trois-Rivières, v;1;;87;374;64;0;0;0;20;10;32;22;1;149;4
666;Maskinongé;2022-10-03;G;Trois-Rivières, v;2;;88;381;65;2;0;1;26;8;45;29;0;176;0
666;Maskinongé;2022-10-03;G;Trois-Rivières, v;2;;89;377;84;0;0;0;27;20;36;35;0;202;1
666;Maskinongé;2022-10-03;G;Trois-Rivières, v;2;;90;401;100;1;1;0;23;16;34;8;1;184;8
666;Maskinongé;2022-10-03;G;Trois-Rivières, v;2;;91;363;67;1;0;0;27;5;23;29;1;153;5
666;Maskinongé;2022-10-03;G;Trois-Rivières, v;2;;92;360;84;0;2;0;34;2;33;23;0;178;5
666;Maskinongé;2022-10-03;G;Trois-Rivières, v;2;;93;368;87;0;0;0;21;11;35;24;1;179;1
666;Maskinongé;2022-10-03;G;Trois-Rivières, v;2;;94;394;65;0;1;0;24;12;28;21;1;152;4
666;Maskinongé;2022-10-03;G;Trois-Rivières, v;2;;95;373;53;0;0;0;18;7;22;19;0;119;8
666;Maskinongé;2022-10-03;G;Trois-Rivières, v;2;;96;391;51;0;0;0;31;11;26;38;2;159;5
666;Maskinongé;2022-10-03;G;Trois-Rivières, v;2;;97;381;87;0;0;0;12;6;21;18;1;145;2
666;Maskinongé;2022-10-03;G;Trois-Rivières, v;3;;98;400;73;0;0;0;20;7;25;17;3;145;2
666;Maskinongé;2022-10-03;G;Trois-Rivières, v;3;;99;399;80;0;0;0;32;18;19;12;1;162;1
666;Maskinongé;2022-10-03;G;Trois-Rivières, v;3;;100;400;110;1;0;0;16;14;29;13;0;183;3
666;Maskinongé;2022-10-03;G;Trois-Rivières, v;3;;101;390;102;1;0;0;34;20;30;25;0;212;2
666;Maskinongé;2022-10-03;G;Trois-Rivières, v;3;;102;375;65;2;0;0;30;12;25;13;1;148;3
666;Maskinongé;2022-10-03;G;Trois-Rivières, v;3;;103;400;56;1;0;0;23;9;36;10;4;139;3
666;Maskinongé;2022-10-03;G;Trois-Rivières, v;3;;104;412;65;0;0;0;29;4;51;18;1;168;2
666;Maskinongé;2022-10-03;G;Trois-Rivières, v;41;;105;407;67;0;2;0;23;6;24;33;2;157;11
666;Maskinongé;2022-10-03;G;Trois-Rivières, v;41;;106;392;86;1;0;0;35;8;35;17;1;183;3
666;Maskinongé;2022-10-03;G;Trois-Rivières, v;41;;107;389;57;0;0;1;17;12;34;25;4;150;0
