Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Crispin Diana Mélissa P.L.Q./Q.L.P.;Laurin Pascal P.C.Q-E.E.D.;St-Louis François C.A.Q.-E.F.L.;Trudel Flavie Q.S.;Venne Véronique P.Q.;B.V.;B.R.
570;Joliette;2022-10-03;G;Joliette, v;1;;78;360;8;10;50;23;46;137;4
570;Joliette;2022-10-03;G;Joliette, v;1;;79;351;4;12;51;11;38;116;1
570;Joliette;2022-10-03;G;Joliette, v;2;;80;364;6;7;56;19;67;155;0
570;Joliette;2022-10-03;G;Joliette, v;2;;81;366;7;16;34;7;16;80;4
570;Joliette;2022-10-03;G;Joliette, v;2;;82;355;6;15;58;20;41;140;3
570;Joliette;2022-10-03;G;Joliette, v;2;;83;357;4;16;32;17;23;92;3
570;Joliette;2022-10-03;G;Joliette, v;2;;84;338;1;10;65;10;37;123;3
570;Joliette;2022-10-03;G;Joliette, v;2;;85;362;2;8;47;19;66;142;3
570;Joliette;2022-10-03;G;Joliette, v;2;;86;373;6;13;42;15;42;118;0
570;Joliette;2022-10-03;G;Joliette, v;3;;87;427;2;11;45;19;46;123;2
570;Joliette;2022-10-03;G;Joliette, v;3;;88;369;0;10;38;21;35;104;2
570;Joliette;2022-10-03;G;Joliette, v;3;;89A;209;5;19;55;21;40;140;0
570;Joliette;2022-10-03;G;Joliette, v;3;Regr. BVDS-1;89B;213;0;0;0;0;0;0;0
570;Joliette;2022-10-03;G;Joliette, v;3;;90;375;2;21;38;20;32;113;0
570;Joliette;2022-10-03;G;Joliette, v;3;;91;329;6;9;49;16;25;105;0
570;Joliette;2022-10-03;G;Joliette, v;3;;92A;227;5;17;32;30;57;141;0
570;Joliette;2022-10-03;G;Joliette, v;3;Regr. BVDS-1;92B;218;0;0;0;0;0;0;0
570;Joliette;2022-10-03;G;Joliette, v;3;;93;371;13;15;49;15;45;137;3
570;Joliette;2022-10-03;G;Joliette, v;3;;94;392;6;26;42;22;50;146;7
570;Joliette;2022-10-03;G;Joliette, v;3;;95;350;1;19;58;10;36;124;5
570;Joliette;2022-10-03;G;Joliette, v;3;;96A;213;3;13;67;21;67;171;0
570;Joliette;2022-10-03;G;Joliette, v;3;Regr. BVDS-1;96B;219;0;0;0;0;0;0;0
570;Joliette;2022-10-03;G;Joliette, v;3;;97;385;3;9;61;15;65;153;3
570;Joliette;2022-10-03;G;Joliette, v;3;;98;389;3;4;85;21;57;170;3
570;Joliette;2022-10-03;G;Joliette, v;3;;99;380;2;19;54;32;58;165;5
570;Joliette;2022-10-03;G;Joliette, v;3;;100A;198;7;20;61;31;35;154;3
570;Joliette;2022-10-03;G;Joliette, v;3;Regr. BVDS-1;100B;239;0;0;0;0;0;0;0
570;Joliette;2022-10-03;G;Joliette, v;3;;101;390;4;9;58;16;43;130;2
