Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Aquin-Belleau Vincent P.V.Q./G.P.Q.;Chekal Lyes P.L.Q./Q.L.P.;Chénier Pierre P.M.L.Q.;Dorismond Shirley C.A.Q.-E.F.L.;Nantel Pierre P.Q.;Ouellet Martine C.Q.;Portron Florent E.A.;Stillo Lara P.C.Q-E.E.D.;Vaithyanathasarma Shophika Q.S.;B.V.;B.R.
246;Marie-Victorin;2022-10-03;G;Longueuil, v;24;;71;374;2;9;0;39;38;3;0;9;17;117;0
246;Marie-Victorin;2022-10-03;G;Longueuil, v;24;;72;407;3;19;0;54;30;0;0;12;43;161;3
246;Marie-Victorin;2022-10-03;G;Longueuil, v;24;;73;396;6;12;0;51;29;0;0;20;29;147;2
246;Marie-Victorin;2022-10-03;G;Longueuil, v;24;;74;394;2;18;0;60;38;2;0;13;42;175;0
246;Marie-Victorin;2022-10-03;G;Longueuil, v;25;;75;377;0;15;0;43;28;1;0;20;28;135;2
246;Marie-Victorin;2022-10-03;G;Longueuil, v;25;;76;381;3;17;0;33;33;0;0;15;42;143;5
246;Marie-Victorin;2022-10-03;G;Longueuil, v;25;;77;366;1;14;0;27;21;1;0;8;42;114;4
246;Marie-Victorin;2022-10-03;G;Longueuil, v;25;;78;370;5;21;1;43;15;4;0;9;19;117;3
246;Marie-Victorin;2022-10-03;G;Longueuil, v;25;;79;381;6;24;0;36;26;3;0;9;28;132;0
246;Marie-Victorin;2022-10-03;G;Longueuil, v;25;;80;389;0;14;0;34;16;3;0;14;39;120;1
246;Marie-Victorin;2022-10-03;G;Longueuil, v;25;;81;389;2;14;0;32;28;2;0;14;32;124;1
246;Marie-Victorin;2022-10-03;G;Longueuil, v;25;;82;354;2;20;0;36;34;3;1;17;29;142;1
246;Marie-Victorin;2022-10-03;G;Longueuil, v;26;;83;388;0;21;0;40;39;2;0;15;29;146;0
246;Marie-Victorin;2022-10-03;G;Longueuil, v;26;;84;386;1;19;1;42;37;3;0;8;40;151;3
246;Marie-Victorin;2022-10-03;G;Longueuil, v;26;;85;393;4;23;0;40;37;3;0;11;44;162;1
246;Marie-Victorin;2022-10-03;G;Longueuil, v;26;;86;396;3;14;0;40;25;0;0;12;37;131;2
246;Marie-Victorin;2022-10-03;G;Longueuil, v;26;;87;391;4;14;0;44;30;2;0;15;36;145;1
246;Marie-Victorin;2022-10-03;G;Longueuil, v;26;;88;397;2;26;0;34;15;1;0;19;26;123;2
246;Marie-Victorin;2022-10-03;G;Longueuil, v;26;;89;383;1;22;0;43;24;1;1;9;22;123;3
246;Marie-Victorin;2022-10-03;G;Longueuil, v;27;;90;370;1;26;1;49;25;0;0;12;33;147;3
246;Marie-Victorin;2022-10-03;G;Longueuil, v;27;;91;364;1;24;0;40;24;3;0;22;32;146;2
246;Marie-Victorin;2022-10-03;G;Longueuil, v;27;;92;365;3;15;0;45;38;0;0;6;27;134;3
246;Marie-Victorin;2022-10-03;G;Longueuil, v;27;;93;383;2;25;0;40;36;2;1;10;39;155;4
246;Marie-Victorin;2022-10-03;G;Longueuil, v;28;;94;382;1;20;0;42;38;0;0;10;40;151;6
246;Marie-Victorin;2022-10-03;G;Longueuil, v;28;;95;385;3;22;0;38;39;0;0;6;23;131;2
246;Marie-Victorin;2022-10-03;G;Longueuil, v;28;;96;385;1;22;0;48;37;3;0;15;39;165;1
246;Marie-Victorin;2022-10-03;G;Longueuil, v;28;;97;375;2;17;1;90;28;0;0;11;11;160;4
246;Marie-Victorin;2022-10-03;G;Longueuil, v;28;;98;383;1;30;1;57;22;2;0;19;28;160;1
246;Marie-Victorin;2022-10-03;G;Longueuil, v;28;;99;379;6;26;0;64;33;1;0;10;24;164;3
246;Marie-Victorin;2022-10-03;G;Longueuil, v;28;;100;393;2;15;4;33;26;3;0;10;44;137;0
246;Marie-Victorin;2022-10-03;G;Longueuil, v;28;;101;392;2;13;0;40;25;2;0;22;29;133;2
246;Marie-Victorin;2022-10-03;G;Longueuil, v;29;;102;399;3;17;0;33;23;0;0;10;29;115;8
246;Marie-Victorin;2022-10-03;G;Longueuil, v;29;;103;414;0;15;0;33;28;3;0;13;37;129;2
246;Marie-Victorin;2022-10-03;G;Longueuil, v;29;;104;395;0;11;0;53;30;0;0;19;21;134;8
246;Marie-Victorin;2022-10-03;G;Longueuil, v;29;;105;408;0;25;0;41;28;1;0;17;37;149;1
246;Marie-Victorin;2022-10-03;G;Longueuil, v;29;;106;394;1;29;0;31;23;1;0;8;36;129;1
246;Marie-Victorin;2022-10-03;G;Longueuil, v;29;;107;415;1;30;0;46;30;2;0;10;24;143;2
246;Marie-Victorin;2022-10-03;G;Longueuil, v;29;;108;392;3;24;0;46;22;6;0;9;33;143;5
246;Marie-Victorin;2022-10-03;G;Longueuil, v;29;;109;406;2;33;0;47;29;5;0;7;30;153;6
246;Marie-Victorin;2022-10-03;G;Longueuil, v;29;;110;389;5;16;0;43;29;2;0;12;27;134;3
