Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Beauregard Lucien Ind;Boisvert Pauline D.D.;Dallaire Germain C.Q.;Déry Pascal P.C.Q-E.E.D.;Gagnon-Ducharme Cédric P.Q.;Harvey Manon Q.S.;Lévesque Gabriel P.L.Q./Q.L.P.;Roy Suzanne C.A.Q.-E.F.L.;Saikali Nadim P.V.Q./G.P.Q.;B.V.;B.R.
256;Verchères;2022-10-03;G;Sainte-Julie, v;7;;121;398;0;0;0;15;33;38;14;111;1;212;4
256;Verchères;2022-10-03;G;Sainte-Julie, v;7;;122;399;0;0;0;11;41;39;7;89;2;189;2
256;Verchères;2022-10-03;G;Sainte-Julie, v;7;;123;396;0;0;4;9;45;34;6;83;2;183;3
256;Verchères;2022-10-03;G;Sainte-Julie, v;7;;124;391;0;0;0;7;30;30;7;106;1;181;3
256;Verchères;2022-10-03;G;Sainte-Julie, v;7;;125;400;0;0;0;12;34;36;13;108;0;203;1
256;Verchères;2022-10-03;G;Sainte-Julie, v;7;;126;396;1;0;0;16;35;42;12;100;0;206;3
256;Verchères;2022-10-03;G;Sainte-Julie, v;8;;127;375;0;0;2;13;35;28;7;82;1;168;3
256;Verchères;2022-10-03;G;Sainte-Julie, v;8;;128;371;0;0;0;12;31;34;8;100;2;187;2
256;Verchères;2022-10-03;G;Sainte-Julie, v;8;;129;370;0;0;0;11;43;31;8;69;2;164;3
256;Verchères;2022-10-03;G;Sainte-Julie, v;8;;130;383;0;0;0;9;38;25;9;97;1;179;6
256;Verchères;2022-10-03;G;Sainte-Julie, v;8;;131;378;1;0;0;14;32;32;10;115;2;206;1
256;Verchères;2022-10-03;G;Sainte-Julie, v;8;;132;384;0;0;0;16;38;54;8;73;1;190;3
256;Verchères;2022-10-03;G;Sainte-Julie, v;8;;133;380;0;0;0;9;45;40;15;103;1;213;23
256;Verchères;2022-10-03;G;Sainte-Julie, v;8;;134;372;0;0;0;12;39;31;14;109;2;207;2
256;Verchères;2022-10-03;G;Sainte-Julie, v;8;;135;376;0;1;0;23;36;25;5;100;0;190;5
256;Verchères;2022-10-03;G;Saint-Amable, v;1;;136;381;0;0;0;19;44;28;7;51;2;151;4
256;Verchères;2022-10-03;G;Saint-Amable, v;1;;137;391;1;0;0;34;46;26;7;66;3;183;4
256;Verchères;2022-10-03;G;Saint-Amable, v;1;;138;388;0;0;0;14;33;19;7;77;1;151;3
256;Verchères;2022-10-03;G;Saint-Amable, v;1;;139;400;1;0;0;27;12;24;3;74;3;144;2
256;Verchères;2022-10-03;G;Saint-Amable, v;1;;140;384;0;0;1;10;29;19;6;69;3;137;4
256;Verchères;2022-10-03;G;Saint-Amable, v;1;;141;393;1;0;0;27;25;36;7;68;0;164;4
256;Verchères;2022-10-03;G;Saint-Amable, v;1;;142;386;1;0;0;22;50;20;4;78;1;176;2
256;Verchères;2022-10-03;G;Saint-Amable, v;2;;143;346;0;1;0;11;35;18;6;59;1;131;0
256;Verchères;2022-10-03;G;Saint-Amable, v;2;;144;338;0;0;0;14;24;24;9;48;4;123;1
256;Verchères;2022-10-03;G;Saint-Amable, v;2;;145;345;0;0;1;13;34;16;5;71;1;141;3
256;Verchères;2022-10-03;G;Saint-Amable, v;2;;146;348;1;0;0;18;28;22;2;43;1;115;0
256;Verchères;2022-10-03;G;Saint-Amable, v;2;;147;353;0;0;0;12;26;24;20;53;3;138;2
256;Verchères;2022-10-03;G;Saint-Amable, v;2;;148;375;0;0;0;26;26;23;11;66;3;155;3
256;Verchères;2022-10-03;G;Saint-Amable, v;3;;149;348;0;1;0;18;34;13;10;69;0;145;2
256;Verchères;2022-10-03;G;Saint-Amable, v;3;;150;362;0;0;0;15;33;26;9;60;2;145;2
256;Verchères;2022-10-03;G;Saint-Amable, v;3;;151;370;1;0;0;18;33;33;14;54;3;156;5
256;Verchères;2022-10-03;G;Saint-Amable, v;3;;152;361;0;0;0;21;34;21;13;67;2;158;4
256;Verchères;2022-10-03;G;Saint-Amable, v;3;;153;343;0;0;0;25;30;24;13;61;2;155;2
256;Verchères;2022-10-03;G;Saint-Amable, v;3;;154;361;0;0;0;21;39;32;10;74;1;177;0
256;Verchères;2022-10-03;G;Saint-Amable, v;4;;155;378;0;0;0;16;38;27;8;82;3;174;3
256;Verchères;2022-10-03;G;Saint-Amable, v;4;;156;398;1;0;1;24;37;28;14;76;1;182;1
256;Verchères;2022-10-03;G;Saint-Amable, v;4;;157;377;0;0;0;22;37;32;11;73;0;175;5
256;Verchères;2022-10-03;G;Saint-Amable, v;4;;158;379;0;1;0;20;35;16;14;66;3;155;4
