Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bellemare Louis P.L.Q./Q.L.P.;Dionne Amélie C.A.Q.-E.F.L.;Lapointe-Gagnon Myriam Q.S.;Moreault Louise P.C.Q-E.E.D.;Rioux Félix P.Q.;Sierpien Carole C.Q.;B.V.;B.R.
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Rivière-du-Loup, v;5;;43;372;9;80;28;21;28;1;167;1
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Saint-Antonin, v;1;;44;350;9;54;24;28;23;2;140;4
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Saint-Antonin, v;1;;45;343;2;84;19;14;24;0;143;3
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Saint-Antonin, v;1;;46;359;10;69;21;24;26;8;158;1
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Saint-Antonin, v;1;;47;358;6;74;32;18;19;0;149;4
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Saint-Antonin, v;1;;48;376;6;67;27;25;22;2;149;0
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Saint-Antonin, v;1;;49;352;4;66;34;21;23;0;148;0
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Saint-Antonin, v;2;;50;400;2;89;32;36;38;0;197;2
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Saint-Antonin, v;2;;51;371;0;96;22;24;26;1;169;1
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Saint-Antonin, v;2;;52;381;4;110;31;36;27;0;208;4
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Saint-Modeste, m;1;;53;270;5;64;33;37;25;2;166;3
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Saint-Modeste, m;1;;54;289;2;68;29;39;30;2;170;4
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Saint-Modeste, m;1;;55;292;5;65;26;31;36;1;164;0
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Saint-François-Xavier-de-Viger, m;1;;56;195;0;53;10;23;12;1;99;1
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Saint-Épiphane, m;1;;57;331;8;68;18;41;31;0;166;5
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Saint-Épiphane, m;1;;58;324;13;75;34;28;18;1;169;3
