Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Arantes Luciana P.L.Q./Q.L.P.;Beauchesne Mario P.Q.;Fortin Pascale Q.S.;Henoud Tarek P.C.Q-E.E.D.;Lefebvre Eric C.A.Q.-E.F.L.;Martel Trystan C.Q.;B.V.;B.R.
144;Arthabaska;2022-10-03;G;Victoriaville, v;10;;82;355;6;21;18;19;84;1;149;3
144;Arthabaska;2022-10-03;G;Victoriaville, v;10;;83;348;1;14;8;29;80;0;132;4
144;Arthabaska;2022-10-03;G;Victoriaville, v;10;;84;376;8;23;16;31;77;8;163;3
144;Arthabaska;2022-10-03;G;Victoriaville, v;11;;85;374;8;17;6;28;49;2;110;4
144;Arthabaska;2022-10-03;G;Victoriaville, v;11;;86;367;11;21;8;33;75;0;148;1
144;Arthabaska;2022-10-03;G;Victoriaville, v;11;;87;365;11;31;15;33;74;2;166;5
144;Arthabaska;2022-10-03;G;Victoriaville, v;11;;88;373;6;14;24;35;88;5;172;3
144;Arthabaska;2022-10-03;G;Victoriaville, v;11;;89;367;6;23;19;40;62;0;150;1
144;Arthabaska;2022-10-03;G;Victoriaville, v;11;;90;390;9;8;14;46;86;1;164;2
144;Arthabaska;2022-10-03;G;Victoriaville, v;11;;91;378;6;22;15;69;82;4;198;1
144;Arthabaska;2022-10-03;G;Victoriaville, v;11;;92;369;1;17;14;59;66;3;160;5
144;Arthabaska;2022-10-03;G;Saint-Valère, m;1;;93;307;6;21;6;57;79;1;170;4
144;Arthabaska;2022-10-03;G;Saint-Valère, m;1;;94;335;4;17;14;58;104;3;200;5
144;Arthabaska;2022-10-03;G;Saint-Valère, m;1;;95;335;11;21;18;58;100;0;208;1
144;Arthabaska;2022-10-03;G;Saint-Rosaire, p;1;;96;331;6;19;20;66;92;1;204;2
144;Arthabaska;2022-10-03;G;Saint-Rosaire, p;1;;97;344;2;22;18;93;99;1;235;3
144;Arthabaska;2022-10-03;G;Saint-Louis-de-Blandford, m;1;;98;419;8;35;13;84;84;1;225;5
144;Arthabaska;2022-10-03;G;Saint-Louis-de-Blandford, m;1;;99;415;6;25;13;85;94;3;226;6
144;Arthabaska;2022-10-03;G;Princeville, v;1;;100;408;4;9;11;71;85;1;181;3
144;Arthabaska;2022-10-03;G;Princeville, v;1;;101;398;5;13;11;62;60;2;153;3
144;Arthabaska;2022-10-03;G;Princeville, v;1;;102;398;5;17;23;45;62;0;152;3
144;Arthabaska;2022-10-03;G;Princeville, v;1;;103;397;2;17;12;68;63;0;162;3
144;Arthabaska;2022-10-03;G;Princeville, v;1;;104A;219;2;7;10;44;35;0;98;1
144;Arthabaska;2022-10-03;G;Princeville, v;1;;104B;212;5;6;5;35;35;1;87;3
144;Arthabaska;2022-10-03;G;Princeville, v;1;;105;411;4;15;10;58;77;1;165;2
144;Arthabaska;2022-10-03;G;Princeville, v;1;;106;410;4;12;12;55;60;2;145;2
144;Arthabaska;2022-10-03;G;Princeville, v;1;;107;398;8;16;11;46;64;0;145;4
144;Arthabaska;2022-10-03;G;Princeville, v;1;;108;423;4;19;22;55;57;1;158;4
144;Arthabaska;2022-10-03;G;Princeville, v;1;;109;405;8;21;13;53;76;2;173;2
144;Arthabaska;2022-10-03;G;Princeville, v;1;;110;399;6;13;14;56;73;1;163;2
144;Arthabaska;2022-10-03;G;Princeville, v;1;;111;373;3;10;7;63;61;1;145;1
144;Arthabaska;2022-10-03;G;Villeroy, m;1;;112;391;13;19;15;90;122;3;262;3
144;Arthabaska;2022-10-03;G;Notre-Dame-de-Lourdes, p;1;;113;275;6;5;12;78;76;1;178;1
144;Arthabaska;2022-10-03;G;Notre-Dame-de-Lourdes, p;1;;114;307;3;12;13;81;92;1;202;3
144;Arthabaska;2022-10-03;G;Plessisville, v;1;;115;363;6;16;8;39;51;0;120;4
144;Arthabaska;2022-10-03;G;Plessisville, v;1;;116;400;10;11;13;70;68;1;173;5
144;Arthabaska;2022-10-03;G;Plessisville, v;1;;117;421;14;15;9;39;67;1;145;5
144;Arthabaska;2022-10-03;G;Plessisville, v;1;;118;424;4;25;10;74;72;2;187;7
144;Arthabaska;2022-10-03;G;Plessisville, v;1;;119;387;10;21;15;42;65;0;153;2
144;Arthabaska;2022-10-03;G;Plessisville, v;2;;120;391;8;26;9;37;83;2;165;4
144;Arthabaska;2022-10-03;G;Plessisville, v;2;;121;397;5;17;13;42;75;1;153;2
144;Arthabaska;2022-10-03;G;Plessisville, v;2;;122;354;7;18;14;27;50;2;118;4
144;Arthabaska;2022-10-03;G;Plessisville, v;2;;123;368;5;15;13;38;68;3;142;6
144;Arthabaska;2022-10-03;G;Plessisville, v;2;;124;382;8;14;19;53;78;2;174;4
144;Arthabaska;2022-10-03;G;Plessisville, v;2;;125;381;8;10;13;34;58;2;125;4
144;Arthabaska;2022-10-03;G;Plessisville, v;2;;126;369;2;14;15;23;53;4;111;2
144;Arthabaska;2022-10-03;G;Plessisville, v;2;;127;380;6;11;9;48;72;0;146;2
144;Arthabaska;2022-10-03;G;Plessisville, p;1;;128;387;3;13;13;83;61;2;175;3
144;Arthabaska;2022-10-03;G;Plessisville, p;1;;129;408;7;22;14;54;96;1;194;3
144;Arthabaska;2022-10-03;G;Plessisville, p;1;;130;398;8;9;9;71;82;0;179;1
144;Arthabaska;2022-10-03;G;Plessisville, p;1;;131;411;6;14;11;73;105;0;209;2
144;Arthabaska;2022-10-03;G;Plessisville, p;1;;132;424;6;17;18;70;87;0;198;2
