Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Cloutier Sylvain E.A.;Dufour Guillaume Q.S.;Forget Michel P.Q.;Lemieux Sylvain P.L.Q./Q.L.P.;Poulin Frédéric P.C.Q-E.E.D.;Rivest Mathieu C.A.Q.-E.F.L.;B.V.;B.R.
826;Côte-du-Sud;2022-10-03;G;Saint-Pascal, v;1;;128;401;1;19;20;9;24;68;141;1
826;Côte-du-Sud;2022-10-03;G;Saint-Pascal, v;1;;129;393;0;21;21;13;31;93;179;4
826;Côte-du-Sud;2022-10-03;G;Saint-Philippe-de-Néri, p;1;;130;336;1;16;27;11;38;88;181;4
826;Côte-du-Sud;2022-10-03;G;Saint-Philippe-de-Néri, p;1;;131;329;0;8;25;10;39;74;156;2
826;Côte-du-Sud;2022-10-03;G;Saint-Denis-De La Bouteillerie, m;1;;132;208;0;16;29;9;24;50;128;0
826;Côte-du-Sud;2022-10-03;G;Saint-Denis-De La Bouteillerie, m;1;;133;206;0;10;28;5;11;65;119;2
826;Côte-du-Sud;2022-10-03;G;Kamouraska, m;1;;134;250;1;25;28;1;10;58;123;1
826;Côte-du-Sud;2022-10-03;G;Kamouraska, m;1;;135;253;0;18;20;20;23;61;142;1
826;Côte-du-Sud;2022-10-03;G;Saint-Germain-de-Kamouraska, m;1;;136;238;0;42;29;1;14;56;142;2
826;Côte-du-Sud;2022-10-03;G;Sainte-Hélène-de-Kamouraska, m;1;;137;351;5;16;17;15;39;111;203;3
826;Côte-du-Sud;2022-10-03;G;Sainte-Hélène-de-Kamouraska, m;1;;138;360;1;27;28;12;44;100;212;3
826;Côte-du-Sud;2022-10-03;G;Saint-Joseph-de-Kamouraska, p;1;;139;312;1;34;15;14;42;88;194;5
826;Côte-du-Sud;2022-10-03;G;Saint-Alexandre-de-Kamouraska, m;1;;140;323;1;24;16;8;53;88;190;2
826;Côte-du-Sud;2022-10-03;G;Saint-Alexandre-de-Kamouraska, m;1;;141;332;0;22;19;13;23;87;164;4
826;Côte-du-Sud;2022-10-03;G;Saint-Alexandre-de-Kamouraska, m;1;;142;313;2;14;15;8;42;72;153;1
826;Côte-du-Sud;2022-10-03;G;Saint-Alexandre-de-Kamouraska, m;1;;143;314;0;17;22;8;19;81;147;2
826;Côte-du-Sud;2022-10-03;G;Saint-Alexandre-de-Kamouraska, m;1;;144;331;0;19;26;9;23;76;153;5
826;Côte-du-Sud;2022-10-03;G;Saint-André-de-Kamouraska, m;1;;145;234;0;30;21;1;19;46;117;1
826;Côte-du-Sud;2022-10-03;G;Saint-André-de-Kamouraska, m;1;;146;226;1;34;22;9;18;40;124;1
